,time,X,temperature
0,11.922310756972117,0.0,1250.0
1,23.665338645418327,0.0872011251758088,1250.0
2,35.85657370517929,0.4514767932489452,1250.0
3,48.13745019920319,0.6132208157524613,1250.0
4,59.88047808764941,0.79887482419128,1250.0
5,72.07171314741036,0.978902953586498,1250.0
6,84.35258964143426,1.0,1250.0
7,5.737051792828691,0.0,1300.0
8,11.922310756972117,0.0843881856540083,1300.0
9,17.838645418326703,0.3642756680731364,1300.0
10,23.934262948207174,0.7144866385372715,1300.0
11,29.85059760956176,0.8931082981715893,1300.0
12,35.94621513944223,0.9057665260196908,1300.0
13,42.13147410358566,1.0014064697609002,1300.0
14,-0.0896414342629441,0.0,1350.0
15,0.7171314741035886,0.1097046413502109,1350.0
16,1.792828685258968,0.2812939521800282,1350.0
17,2.958167330677295,0.3108298171589311,1350.0
18,3.8545816733067753,0.6821378340365682,1350.0
19,4.930278884462155,0.9268635724331928,1350.0
20,5.916334661354586,1.0028129395218004,1350.0
