,mean,std,ml
a1,5.7049804,2.0265908,3.0953033
B1,-23194.354,3110.9841,-18929.777
a2,-49.43606,45.836773,-29.551262
B2,-8883.791,71611.9,56626.383
n,1.5597262,0.26122862,1.1245787
sigma,0.10215886,0.016054375,0.060854066
