,mean,std,ml
a1,14.370517,1.132801,15.847183
B1,-34857.19,1667.7504,-36967.555
a2,-34.97073,5.6600165,-46.17923
B2,64511.066,7513.5703,79362.34
nu,0.033741005,0.015471127,0.015115866
sigma,0.024709389,0.004555641,0.0074856402
