,mean,std,ml
a1,19.508587,0.99444973,19.692703
B1,-48963.24,1863.0271,-49309.477
a2,-69.38736,53.805588,-33.875057
B2,-77.99895,102860.68,-189913.05
n,2.0002809,0.3773069,1.9850003
sigma,0.0117388675,0.01083053,3.7625068e-06
