,mean,std,ml
a1,12.889385,1.6037145,12.776464
B1,-34060.027,2256.3276,-33887.594
a2,-22.164165,2.3404095,-21.641151
B2,47631.477,3118.1428,46938.67
n,1.8788555,0.47621074,1.7885544
sigma,0.027010141,0.0045511536,0.024516577
