,mean,std,ml
a1,24.939754,1.4043589,25.340708
B1,-52739.707,2294.602,-53493.633
a2,-60.677036,56.365837,-35.21164
B2,-31007.668,93584.24,63473.566
nu,0.36475146,0.012855604,0.39961123
sigma,0.021189779,0.00480739,0.0067821075
