,mean,std,ml
a1,20.340153,1.0100629,20.537437
B1,-48808.926,1863.5636,-49076.52
a2,-60.273987,54.591526,-58.747284
B2,-21404.686,103919.22,-529.6006
nu,0.17358457,0.039454255,0.15405016
sigma,0.011762444,0.010554949,7.430829e-05
