,mean,std,ml
a1,35.078327,9.045158,23.013494
B1,-73136.58,16596.49,-53101.688
a2,-71.53407,64.29126,-153.71312
B2,-48953.312,126240.42,71797.06
n,2.0669613,1.3351413,0.21993908
sigma,0.03629112,0.024587322,0.14855704
