,mean,std,ml
a1,27.64671,1.4717908,26.874084
B1,-62190.195,2657.4832,-60704.844
a2,-44.58424,45.66776,-24.581642
B2,-22237.473,79373.914,51134.016
n,2.0316918,0.26027393,1.8495176
sigma,0.016600627,0.010482747,0.00030151484
