,mean,std,ml
a1,34.558353,0.63353837,35.709965
B1,-69718.8,928.3212,-71347.266
a2,-4.247474,18.878214,45.7483
B2,-14087.229,28262.4,-61874.996
nu,0.077306,0.016980179,0.07116623
sigma,0.07410747,0.009534616,0.047943875
