,mean,std,ml
B1,-69746.34,518.0857,-69788.6329479166
B2,46989.957,26812.865,49363.48202427937
a1,33.345936,0.34548518,33.37084379149571
a2,-44.96969,18.122913,-43.219810183394216
n,3.1898596,0.2559839,3.178717611672679
