,mean,std,ml
a1,26.662731,2.714249,26.300037
B1,-56152.75,4362.1055,-55574.07
a2,-127.93105,64.36034,-185.03668
B2,-76170.79,111053.59,72857.85
n,0.63463044,0.07961894,0.6206335
sigma,0.044851135,0.0076969485,0.022169607
