,mean,std,ml
a1,24.567171,7.1831837,10.965184
B1,-52906.84,11274.756,-30475.729
a2,-76.85246,64.63956,-126.788025
B2,-53358.05,112547.766,25506.244
n,2.2143023,1.1761204,0.7032447
sigma,0.01153685,0.011403579,0.044129547
