,mean,std,ml
a1,13.197719,1.7729294,14.168289
B1,-34313.25,2511.939,-35611.344
a2,-20.984928,1.5943495,-20.003075
B2,46086.96,2144.9062,44766.605
n,1.6700442,0.37944886,1.4559246
sigma,0.02867658,0.0049061896,0.009566722
