,mean,std,ml
a1,34.61096,0.6368218,36.233902
B1,-69679.01,942.97205,-72008.73
a2,-3.6251352,19.615313,50.1978
B2,-15255.486,28319.742,-68750.19
nu,0.062279433,0.0147130815,0.05865074
sigma,0.10280324,0.011642111,0.09329386
