,mean,std,ml
a1,6.0559816,2.3137894,3.989743
B1,-22351.248,3529.2434,-19093.531
a2,-43.943024,45.51753,-16.731945
B2,-17172.988,70527.96,37631.45
nu,0.19868685,0.044309996,0.2833053
sigma,0.112729006,0.017403113,0.0976492
