,mean,std,ml
a1,19.71135,0.99132234,19.796476
B1,-49251.902,1868.9785,-49410.316
a2,-69.12153,54.327415,-13.651648
B2,-2812.2837,103510.52,-253877.95
n,3.017246,0.82914275,3.0051687
sigma,0.02098212,0.017481271,5.920084e-06
