,mean,std,ml
a1,20.652884,0.9751244,20.96828
B1,-49032.715,1803.3573,-49402.96
a2,-61.13582,53.645367,-79.441536
B2,-21456.777,103205.91,121627.52
nu,0.11912374,0.038218066,0.082205385
sigma,0.046256598,0.033026803,0.00021167898
