,mean,std,ml
B1,-35015.004,1019.1965,-34779.16169174267
B2,63701.32,6469.538,63053.71674178177
a1,14.464072,0.7148182,14.298868821298175
a2,-34.336918,4.846044,-33.90984835667057
nu,0.037079968,0.014714854,0.03057046447513999
