,mean,std,ml
a1,6.473596,3.9915676,4.5830903
B1,-22382.365,5872.2563,-19650.555
a2,-74.754456,64.76571,37.628742
B2,-56286.527,109792.41,-192116.08
n,2.485603,1.039597,2.1911857
sigma,0.06543104,0.02671598,0.033704672
