,mean,std,ml
B1,-17212.172,2714.9033,-17051.469830873917
B2,39337.242,4542.1685,39381.324301687375
a1,2.0735242,1.7441349,1.974002091280285
a2,-17.791908,3.0235589,-17.736481941310785
n,1.0305511,0.03321814,1.012267214981502
