,mean,std,ml
a1,27.446985,1.3723363,27.049442
B1,-61814.164,2490.7124,-61105.77
a2,-44.97054,44.615784,-26.671425
B2,-20205.691,78914.984,-77904.28
n,2.587553,0.45357963,2.519971
sigma,0.021550953,0.012888222,0.000112704176
