,mean,std,ml
a1,5.5994873,2.0399883,6.18962
B1,-21896.713,3114.6853,-22767.256
a2,-45.099308,45.946537,-58.794266
B2,-16438.748,72928.35,42255.18
nu,0.23973301,0.039439607,0.22881511
sigma,0.100610524,0.013379133,0.09359873
