,mean,std,ml
a1,28.48998,1.3404884,29.405094
B1,-61706.38,2452.5398,-63195.184
a2,-53.035683,44.6246,-13.6942
B2,-4861.566,78989.39,31852.762
nu,0.110950254,0.02533494,0.10624821
sigma,0.03959408,0.027067631,0.0014636134
