,mean,std,ml
a1,33.283436,0.51675934,33.78776
B1,-69615.695,769.4177,-70343.89
a2,-45.245373,18.164762,-8.592935
B2,48060.24,27088.887,25263.434
n,3.3626509,0.3865516,3.254178
sigma,0.08132981,0.011276251,0.05535794
