,mean,std,ml
a1,28.456717,1.3482156,28.238768
B1,-61830.977,2474.8887,-61366.016
a2,-53.325264,45.43825,-85.6469
B2,-6024.3228,80153.36,6629.588
nu,0.14206369,0.02474465,0.12931731
sigma,0.018363817,0.010372612,0.008655162
