,mean,std,ml
a1,25.594835,1.7941526,24.561792
B1,-53939.73,2931.7212,-52275.387
a2,-35.415104,6.1004715,-29.949085
B2,65383.668,13067.009,59428.426
nu,0.5150362,0.10672774,0.5879323
sigma,0.029339826,0.0067276605,0.008948017
