,X,temperature,time,std
0,0.0,897.3493555872707,3600.0,0.05317688586743341
1,0.020551611777028023,1095.2815696869993,3600.0,0.06279687976641812
2,0.14121959734667755,1194.6921744435608,3600.0,0.10446238420066944
3,0.2196788083323642,1293.9328241946205,3600.0,0.09908870752323207
4,0.8760619108576746,1393.3499656821623,3600.0,0.05413298434947128
5,1.0,1497.0748128860755,3600.0,0.024378059746228364
6,0.9756313278249741,1793.7508851823204,3600.0,0.037453791587571006
7,0.9718608169440247,2296.961509549075,3600.0,0.039476970726345983
0,0.0,1100.0,3.6,0.06360667011306642
1,0.013192080978094767,1100.0,91.96706857729751,0.06964186984372428
2,0.17486046580410897,1100.0,2271.446440128699,0.12385514626449873
3,0.1013465704770582,1100.0,10913.847811032387,0.10997136389124057
4,0.07757812229505023,1100.0,21802.256947065976,0.09909761832339564
5,0.09378814473147157,1100.0,58027.29736915958,0.10651348570661545
6,0.8842074941993852,1100.0,7003380.722024062,0.057362535724243324
