,X,temperature,time,std
0,0.05893158307462576,898.5651875497061,3600.0,0.037775043792929175
1,0.0,1100.4586606238217,3600.0,0.01854333237359096
2,0.13833775552953576,1195.6857575526478,3600.0,0.0401561846006801
3,0.09390811141786015,1300.8682957652877,3600.0,0.03882387962491474
4,0.24122632692741497,1393.9840285873029,3600.0,0.0432414885315025
5,1.0,1500.5196701129762,3600.0,0.03200876095118915
6,0.9954990278329803,1799.4247676736863,3600.0,0.03419378389653771
7,0.9470518095197172,2300.288705618321,3600.0,0.05771276595744701
0,0.06104871980918991,1100.0,3.72359284079004,0.06844139776202945
1,0.0,1100.0,91.96706857729751,0.0382564841585325
2,0.09932347581640555,1100.0,57056.15492860011,0.07626609616586466
3,0.2313255749908495,1100.0,7003380.722024062,0.07478147069705232
