,X,temperature,time,std
0,0.0,906.3177504929782,3600.0,0.010671164385056942
1,0.1976617784977407,1193.2083365109106,3600.0,0.02554714501845895
2,0.846374371216642,1299.2864068679255,3600.0,0.04097308312337494
3,0.7873966237530898,1397.951824292671,3600.0,0.039570632959540386
4,0.8741154403614964,1497.2578413535389,3600.0,0.04163274661749511
5,0.9410115951914056,1796.4767020013292,3600.0,0.043223491047995444
6,1.0,2299.9618690692787,3600.0,0.021782806937186816
0,0.07606782048156824,1100.0,3.6,0.05040085715021747
1,0.0,1100.0,96.74351719514712,0.022545680069511798
2,0.21109395736843506,1100.0,2233.431606774779,0.06963456987359001
3,0.3864792394572193,1100.0,10731.194107006291,0.09461721552559199
4,0.7199127867609226,1100.0,22550.757744766972,0.14211294641914335
5,0.9006662874786708,1100.0,59014.96944865172,0.12187482175789488
6,1.0,1100.0,7243816.199404475,0.07829462706998502
