Pure W data,,Pure W error,,K-doped W data,,K-doped W error,,K-doped 3%Re W data,,K-doped 3%Re W error,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
906.3177504929783,477.2020612491694,901.9250672738563,479.33194609375863,897.3493555872708,485.7172428068724,903.3435378966977,496.35250411269334,898.5651875497063,457.449149680245,902.4480057523232,467.17362646940273
1193.2083365109108,456.9959363322403,1195.2151129220276,460.3383847737747,1095.2815696869995,483.7932649881795,1099.3474163570797,489.2623299088127,1100.458660623822,463.4259007070565,1098.1511945875868,467.07448604952674
1299.2864068679255,390.6808005316542,1301.0840078876554,398.8865768229309,1194.6921744435608,472.4967043981306,1194.3784113564807,479.7916961727441,1195.6857575526478,449.3958971118544,1198.20239898027,440.8839839196419
1397.9518242926713,396.7098454063124,1395.4221094030877,405.5257165891338,1293.9328241946205,465.15159768599733,1297.8940831690072,473.0523265315017,1300.8682957652877,453.9018836679777,1299.0314743596728,446.6079813485277
1497.2578413535393,387.84494874113466,1501.1929534040028,396.3535935678568,1393.3499656821625,403.70305810064394,1395.4090359411257,405.82967457974274,1393.9840285873033,438.96109555611247,1392.1602806436504,431.36323524605353
1796.4767020013292,381.0064386800162,1798.3919641787143,386.4765930558128,1497.0748128860757,392.10036060965916,1501.1929534040028,396.3535935678568,1500.5196701129764,362.0074300842149,1500.2320539498196,368.69450587761065
2299.9618690692787,374.9763043501945,2299.765767139854,379.53567420932796,1793.7508851823204,394.38167972197107,1799.9542428831342,400.15361317804974,1799.4247676736863,362.46391179771,1799.1502249724913,368.84702960049685
,,,,2296.961509549075,394.7346631949363,2298.7329636448817,403.5483554674308,2300.288705618321,367.37735458497207,2300.7854971728643,355.826950941834
