,time,HV,std,temperature
0,-0.0620623307593559,429.5101895290307,0.8889699411199103,1200.0
1,1.0164304938983717,417.5640104871569,1.3826326698092544,1200.0
2,1.973257544943861,414.30868878777846,0.8888879781896435,1200.0
3,3.9728989571241664,382.41568319688207,1.8765412872892853,1200.0
4,7.981451788892177,361.3951422620334,1.3827146327394644,1200.0
5,11.985922866735446,356.76964625823854,1.283867338899256,1200.0
6,17.982068559942054,352.2511118783752,1.6790106254693455,1200.0
7,23.958125138952784,348.4238528519513,1.580409220419881,1200.0
8,0.4378541695054858,421.5122467985792,1.5801633316290804,1250.0
9,0.996439735218754,417.8602245169566,2.4690513098188376,1250.0
10,1.475726165948296,412.7263944199637,2.271520647998898,1250.0
11,1.9583566842306397,394.1604793192159,2.4691332727489907,1250.0
12,2.9773444215517424,381.22640107945176,1.4814799636494627,1250.0
13,3.996873114212268,366.1194855596685,1.580163331629194,1250.0
14,6.98619231986853,359.0206761736835,1.283785375969103,1250.0
15,8.978948845910715,354.7819632375767,1.9752246552690167,1250.0
16,11.987471966116525,350.54743041091086,1.3826326698092544,1250.0
17,16.96713798766663,348.88891051799544,2.2715206479989547,1250.0
18,-0.0421945164750612,429.7078021537809,0.790040684349492,1300.0
19,0.4190928547791044,416.8701942828807,1.284113227689943,1300.0
20,0.9621874266815976,395.44033047453456,1.5803272574896141,1300.0
21,1.9824291968350012,377.4692203583624,2.271602610929108,1300.0
22,2.9605256282714736,368.7818874218663,0.9877352720297381,1300.0
23,3.957924329773751,362.56376972104937,2.1729192429494333,1300.0
24,5.930567152740994,359.11509746929204,1.1852659338497347,1300.0
25,7.983173010426708,354.481569098336,1.3827146327394644,1300.0
26,9.976101658622348,349.55149884585944,1.1851020079893715,1300.0
27,14.995306597708524,349.078326849724,1.4814799636494627,1300.0
28,-0.0421699275959968,429.6090368228709,1.9752246552690167,1350.0
29,0.4232483753410427,400.178853359097,1.8767052131497053,1350.0
30,0.9447785003037756,385.36618475878817,1.876541287289342,1350.0
31,1.923735542507513,373.2220652404433,1.9754705440597036,1350.0
32,2.9616567167084504,364.23868220000793,2.1729192429494333,1350.0
33,4.994640648900519,358.4198878952021,1.4813160377890995,1350.0
34,6.98847908562155,349.83550039905697,0.8887240523292803,1350.0
35,10.991966608302231,349.1606176316606,1.0864186400095832,1350.0
