Test Temperature (C),Rupture Time (hr), Stress (MPa)
1100,194.99291530622622, 150.16085547315504
1100,1891.6298482974503, 130.141168574097
1300,25.84814483683816, 109.8648653430534
1300,150.32267038074045, 80.1480050656953
1300,552.0726513343564, 60.02614441275719
1300,2969.566341171369, 40.11697668377193
