Time Step,p-in,t-out,t-cs-avg,t-cs-max,t-max,t-pb-max,htc-cs-avg,t-endcap-max,t-inner-tube-max,flow-time,courant-max
35,10190870.28198037,930.38098994803,1231.512429535566,1329.350463867188,1962.31982421875,1385.505126953125,-21472.10667315197,1381.788452148438,963.5374145507812,0.0183,55865.29969795545
36,10190870.28198037,930.426384470696,1231.478287559515,1329.245849609375,1963.142822265625,1385.398315429688,-21472.34501148522,1381.740844726562,960.9270629882812,0.0189,55865.45321708623
37,10190870.28198037,930.4895338628876,1231.444606080848,1329.144287109375,1963.976928710938,1385.294067382812,-21472.32483437561,1381.693969726562,962.3777465820312,0.0195,55865.65625981317
38,10190870.28198037,930.594586343428,1231.411388790101,1329.045288085938,1964.821899414062,1385.194091796875,-21473.38634243286,1381.647583007812,962.6048583984376,0.0201,55865.80978090363
39,10190870.28198037,930.4011395593768,1231.378606430615,1328.949096679688,1965.677734375,1385.096313476562,-21473.46930292267,1381.601684570312,962.739013671875,0.0207,55866.01777856573
40,10190870.28198037,930.6552741279844,1231.34623600749,1328.855224609375,1966.544189453125,1385.000732421875,-21473.48275434063,1381.556518554688,963.4171752929688,0.0213,55866.18120638678
41,10190870.28198037,930.7009313546912,1231.314273924127,1328.763793945312,1967.421264648438,1384.906982421875,-21473.01433758265,1381.51171875,963.1356811523438,0.0219,55866.33473036242
42,10190870.28198037,930.5769844987595,1231.282722715801,1328.674560546875,1968.308715820312,1384.815307617188,-21473.10345820058,1381.467529296875,963.8024291992188,0.0225,55866.51796976047
43,10190870.28198037,931.0359106841374,1231.251578433882,1328.587524414062,1969.20654296875,1384.7255859375,-21474.10964452252,1381.423828125,963.4739990234376,0.0231,55866.62197103463
44,10190870.28198037,930.702145610553,1231.220801769918,1328.502563476562,1970.114379882812,1384.637573242188,-21473.94500969909,1381.380493164062,963.6533813476562,0.0237,55866.82997474463
45,10190870.28198037,930.8194236115336,1231.190405674174,1328.419555664062,1971.032470703125,1384.551513671875,-21473.89489860202,1381.337768554688,963.6195678710938,0.0243,55866.93397718046
46,10190870.28198037,931.1817330997068,1231.160376147126,1328.33837890625,1971.960327148438,1384.467041015625,-21474.46680879482,1381.29541015625,964.1814575195312,0.0249,55867.03798000352
47,10190870.28198037,930.9644068779804,1231.130694698429,1328.259033203125,1972.898193359375,1384.38427734375,-21474.13966168449,1381.253540039062,964.6246337890624,0.0255,55867.21627145822
48,10190870.28198037,930.6718155186412,1231.10136195526,1328.181396484375,1973.845703125,1384.303100585938,-21474.13527508359,1381.212158203125,964.475830078125,0.0261,55867.30046504075
49,10190870.28198037,930.7794476823228,1231.072366880011,1328.10546875,1974.802978515625,1384.223388671875,-21474.3649264562,1381.171142578125,971.2779541015624,0.0267,55867.45894776683
50,10190870.28198037,930.647971715988,1231.043715375895,1328.031127929688,1975.769653320312,1384.145385742188,-21474.84675624694,1381.130493164062,968.0416259765624,0.0273,55867.48866337808
51,10190870.28198037,930.5696550862596,1231.015370784463,1327.958374023438,1976.745971679688,1384.068725585938,-21474.43537884616,1381.09033203125,965.9968872070312,0.0279,55867.67686298338
52,10190870.28198037,931.0567251140296,1230.987332365768,1327.886962890625,1977.7314453125,1383.993530273438,-21474.36850416948,1381.050537109375,965.760986328125,0.0285,55867.82048985102
53,10190870.28198037,930.136722472962,1230.95962051195,1327.817138671875,1978.726318359375,1383.919677734375,-21474.85390171691,1381.01123046875,965.5216064453124,0.0291,55867.86506385665
54,10190870.28198037,930.9237914127324,1230.932200679442,1327.74853515625,1979.73046875,1383.84716796875,-21474.57559980335,1380.97216796875,965.3016967773438,0.0297,55868.00373899569
55,10190870.28198037,930.8013615855772,1230.905087020348,1327.681274414062,1980.74365234375,1383.77587890625,-21475.47906863923,1380.93359375,969.6287231445312,0.0303,55868.07307682338
56,10190186.87170085,929.1987877123258,1230.901257472184,1327.674438476562,1980.871337890625,1383.767822265625,-21476.63892540434,1380.92919921875,970.1453247070312,0.030375,6992.519183794411
57,10191428.68902786,929.2011586413068,1230.896249583845,1327.676879882812,1980.998046875,1383.759765625,-21485.38568931774,1380.925048828125,970.577880859375,0.03045,6967.263889708343
58,10191511.7592682,929.2020371808472,1230.89196038904,1327.683837890625,1981.124755859375,1383.751586914062,-21488.82152708731,1380.9208984375,970.925537109375,0.030525,6938.586950834813
59,10190978.56958455,929.2038778474198,1230.891480720962,1327.680419921875,1981.188354492188,1383.747314453125,-21480.09294278155,1380.918823242188,970.9544067382812,0.0305625,3442.562418063479
60,10190247.0564143,929.205952056078,1230.892658713169,1327.520751953125,1981.251953125,1383.743041992188,-21462.62274448395,1380.916748046875,970.9296875,0.0306,3416.019633082928
61,10190247.0564143,928.8149746622266,1230.850784778995,1322.277709960938,1982.277099609375,1383.625366210938,-21497.37514073334,1380.879516601562,960.3533325195312,0.0312,54662.96029750373
62,10190247.0564143,929.1576100280356,1230.815736860649,1322.094848632812,1983.312622070312,1383.43603515625,-21504.85573441074,1380.841918945312,955.12353515625,0.0318,54661.06607178232
63,10190247.0564143,929.4250534978396,1230.78386453841,1321.942504882812,1984.35693359375,1383.18310546875,-21505.98945031265,1380.804443359375,952.3189086914062,0.0324,54659.15744515038
64,10190247.0564143,929.529932807422,1230.75347503901,1321.6943359375,1985.41015625,1382.88818359375,-21506.7159006218,1380.767333984375,950.0296630859376,0.033,54658.14989905962
65,10190247.0564143,929.6008133852364,1230.724075475386,1321.425170898438,1986.472045898438,1382.722534179688,-21507.32430475553,1380.73046875,948.1026000976562,0.0336,54657.282857882
66,10190247.0564143,929.8183143789644,1230.695429679731,1321.159790039062,1987.542602539062,1382.7080078125,-21507.55552413573,1380.694091796875,947.6028442382812,0.0342,54656.89051867972
67,10190247.0564143,930.806765198602,1230.667417923065,1320.926513671875,1988.621704101562,1382.709838867188,-21508.45698333467,1380.658203125,950.695068359375,0.0348,54656.17851006937
68,10190247.0564143,931.0941532597787,1230.639935992043,1320.875366210938,1989.709228515625,1382.711547851562,-21508.68141677613,1380.62255859375,954.8585205078124,0.0354,54655.89758660554
69,10190247.0564143,931.3967275745878,1230.612926996746,1320.96337890625,1990.805297851562,1382.705810546875,-21508.87048266727,1380.587524414062,957.00341796875,0.036,54655.33090495812
70,10190247.0564143,931.1306199536632,1230.586344062639,1321.00634765625,1991.90966796875,1382.692138671875,-21508.78796027045,1380.552856445312,960.0623168945312,0.0366,54655.11779695173
71,10190247.0564143,931.004765946872,1230.560157397605,1321.015258789062,1993.022338867188,1382.670654296875,-21509.00228215901,1380.518798828125,962.3546142578124,0.0372,54654.58987745728
72,10190247.0564143,931.0536844387856,1230.534329628174,1320.998413085938,1994.143310546875,1382.641723632812,-21508.77955126909,1380.485229492188,963.253173828125,0.0378,54654.36224559273
73,10190247.0564143,930.8188072882948,1230.50885601515,1320.961791992188,1995.272338867188,1382.605834960938,-21509.2696862641,1380.452026367188,964.7645263671876,0.0384,54654.06196816119
74,10190247.0564143,931.3353256572738,1230.483727279957,1320.910278320312,1996.409545898438,1382.563598632812,-21510.6810582304,1380.41943359375,967.0216064453124,0.039,54653.63093051905
75,10190247.0564143,930.2463435789869,1230.458866271342,1320.846923828125,1997.554809570312,1382.515991210938,-21509.3163524268,1380.387329101562,972.0924682617188,0.0396,54653.33550415188
76,10190247.0564143,930.5829607071266,1230.434326058562,1320.77490234375,1998.708129882812,1382.46484375,-21510.10805616103,1380.355712890625,973.7501831054688,0.0402,54653.03523800227
77,10190247.0564143,930.4009698564658,1230.410058151011,1320.6962890625,1999.869384765625,1382.409912109375,-21509.9814292721,1380.324584960938,976.3944091796876,0.0408,54652.91416387536
78,10190247.0564143,930.4923472473548,1230.386069469319,1320.612670898438,2001.03857421875,1382.351440429688,-21510.56450269023,1380.293823242188,979.8233032226562,0.0414,54652.48798721603
79,10190247.0564143,930.8411549496652,1230.362330885504,1320.525390625,2002.215576171875,1382.289916992188,-21510.36838119947,1380.263549804688,980.06884765625,0.042,54652.33301553328
80,10190247.0564143,930.5250160152116,1230.338844715951,1320.435424804688,2003.400268554688,1382.225830078125,-21510.23649711868,1380.233642578125,982.9653930664062,0.0426,54652.22163017914
81,10190247.0564143,930.2244129687411,1230.315611970893,1320.34375,2004.592895507812,1382.15966796875,-21510.6170866209,1380.204223632812,986.8781127929688,0.0432,54651.82452087226
82,10190247.0564143,930.5881808466064,1230.29260050497,1320.250854492188,2005.793090820312,1382.091552734375,-21510.29185085534,1380.175170898438,987.49365234375,0.0438,54651.82452087226
83,10190247.0564143,930.457666578966,1230.26983031193,1320.157348632812,2007.0009765625,1382.022216796875,-21510.71733517124,1380.146484375,991.212158203125,0.0444,54651.47100158873
84,10190247.0564143,930.0792923368222,1230.24728359978,1320.13427734375,2008.216552734375,1381.95166015625,-21510.74217445315,1380.118041992188,995.6826782226562,0.045,54651.46131619328
85,10190247.0564143,930.5762174137072,1230.224969049351,1320.20947265625,2009.439575195312,1381.880126953125,-21511.08756293973,1380.089965820312,993.4690551757812,0.0456,54651.20465446459
86,10190247.0564143,930.4364159661792,1230.202846282381,1320.280517578125,2010.670166015625,1381.80810546875,-21510.48310833823,1380.062255859375,995.4528198242188,0.0462,54650.98673602127
87,10190247.0564143,930.3283388125384,1230.180961540682,1320.34765625,2011.908203125,1381.735595703125,-21511.44182056517,1380.034790039062,997.3197021484376,0.0467999999999999,54650.96736557708
88,10190247.0564143,930.7650210811796,1230.15925291897,1320.4111328125,2013.153686523438,1381.662841796875,-21510.81916573483,1380.007690429688,995.3836059570312,0.0474,54650.667125448
89,10190247.0564143,930.3844852039432,1230.137758758193,1320.47119140625,2014.406494140625,1381.59326171875,-21511.32327935678,1379.980712890625,995.319580078125,0.048,54650.67681056197
90,10190247.0564143,930.6694213915672,1230.116456467165,1320.528076171875,2015.666625976562,1381.524291992188,-21511.59641622659,1379.9541015625,994.5921630859376,0.0486,54650.39594365075
91,10190247.0564143,930.5347993732656,1230.095343138502,1320.581909179688,2016.934204101562,1381.455322265625,-21511.22834937893,1379.927734375,992.9383544921876,0.0491999999999999,54650.34267611395
92,10190247.0564143,930.6646755582966,1230.074439359762,1320.632934570312,2018.208862304688,1381.386474609375,-21512.02036143192,1379.901611328125,994.9857788085938,0.0498,54650.30877864462
93,10190247.0564143,930.4445807180404,1230.05371474412,1320.681396484375,2019.490844726562,1381.31787109375,-21512.05038536973,1379.875610351562,995.5469360351562,0.0504,54650.11023716859
94,10190247.0564143,930.6222443433164,1230.033168651993,1320.727294921875,2020.780029296875,1381.249633789062,-21512.10736716689,1379.849975585938,993.0418701171876,0.051,54649.95043654058
95,10190247.0564143,930.3227654433116,1230.012809674057,1320.77099609375,2022.076293945312,1381.181640625,-21512.41044404266,1379.824462890625,992.7481079101562,0.0515999999999999,54649.96012140053
96,10190247.0564143,930.5031699839,1229.992611899878,1320.812377929688,2023.379638671875,1381.114135742188,-21511.91890870122,1379.799194335938,993.5035400390624,0.0522,54649.89716987227
97,10190247.0564143,930.3418822743746,1229.972594487815,1320.851684570312,2024.690185546875,1381.068481445312,-21511.90745542107,1379.774169921875,991.8123168945312,0.0528,54649.7228433201
98,10190247.0564143,929.8418460359404,1229.952747004903,1320.889038085938,2026.007690429688,1381.037231445312,-21511.71140767497,1379.749267578125,989.9839477539062,0.0534,54649.66957709543
99,10190247.0564143,930.6025478677352,1229.933079552147,1320.924682617188,2027.332153320312,1381.006225585938,-21511.86203005644,1379.724609375,988.7090454101562,0.0539999999999999,54649.66957709543
100,10190247.0564143,930.4413143843524,1229.913589246969,1320.95849609375,2028.66357421875,1380.975341796875,-21512.76735025634,1379.7001953125,986.7615966796876,0.0546,54649.43230153794
101,10190247.0564143,930.5638550329508,1229.894250277564,1320.990600585938,2030.001953125,1380.944702148438,-21512.10584403251,1379.676025390625,986.4174194335938,0.0552,54649.42745920108
102,10190247.0564143,930.7060707320272,1229.875080304398,1321.021240234375,2031.34716796875,1380.914306640625,-21512.28196098992,1379.651977539062,988.306396484375,0.0558,54649.33545496373
103,10190247.0564143,930.3818845054492,1229.85607594879,1321.050415039062,2032.699340820312,1380.884033203125,-21512.42444502885,1379.628173828125,988.2294921875,0.0563999999999999,54649.39356286707
104,10190247.0564143,930.4418610670948,1229.837225405544,1321.078125,2034.058227539062,1380.854125976562,-21512.21467658486,1379.604614257812,994.4799194335938,0.057,54649.18050115896
105,10190247.0564143,930.5725067356752,1229.818550065925,1321.104614257812,2035.423950195312,1380.824340820312,-21512.53940135841,1379.581298828125,1006.712158203125,0.0576,54649.25797795151
106,10190247.0564143,930.7695743193456,1229.800022414192,1321.129760742188,2036.79638671875,1380.794799804688,-21512.27392425328,1379.55810546875,1019.944641113281,0.0581999999999999,54649.1030245861
107,10190247.0564143,930.3994719875086,1229.781665302767,1321.15380859375,2038.175659179688,1380.765502929688,-21512.65542336683,1379.53515625,1034.70654296875,0.0587999999999999,54649.0158637042
108,10190247.0564143,930.7771112835092,1229.763447768326,1321.176635742188,2039.5615234375,1380.736328125,-21512.27789302131,1379.512451171875,1043.881469726562,0.0593999999999999,54648.91901860596
109,10190247.0564143,930.3652401826143,1229.745416126013,1321.198486328125,2040.9541015625,1380.70751953125,-21513.21524235359,1379.489990234375,1052.979125976562,0.06,54648.93838759816
110,10190247.0564143,930.7597108323486,1229.727506833461,1321.219360351562,2042.353271484375,1380.678955078125,-21512.44758204072,1379.467651367188,1058.736328125,0.0606,54648.90933411501
111,10188766.3070164,929.2345653376104,1229.72523049606,1321.208251953125,2042.529052734375,1380.675537109375,-21512.73779607864,1379.465209960938,1059.505004882812,0.060675,6816.00165034634
112,10189412.66752716,929.2362825713828,1229.723291082488,1321.1083984375,2042.703735351562,1380.671997070312,-21511.37264003549,1379.462768554688,1060.474487304688,0.06075,6791.896955525655
113,10189301.66669558,929.2345197238266,1229.722518909354,1320.972778320312,2042.878295898438,1380.668579101562,-21504.58175874555,1379.46044921875,1061.505004882812,0.060825,6869.725651513133
114,10189143.20553798,929.2313413265852,1229.724019198214,1321.038818359375,2042.965942382812,1380.666870117188,-21490.28059841704,1379.459228515625,1061.547973632812,0.0608625,3500.989217500964
115,10188970.77548455,929.227080094704,1229.725857432093,1321.157104492188,2043.053588867188,1380.6650390625,-21476.0984366344,1379.4580078125,1060.733276367188,0.0609,3555.946009044355
116,10188970.77548455,928.8867206240792,1229.710963594745,1316.829711914062,2044.461059570312,1380.630249023438,-21487.83962152003,1379.436645507812,1025.507080078125,0.0615,56871.51946519661
117,10188970.77548455,929.1048872337058,1229.697498983631,1317.141723632812,2045.87646484375,1380.587524414062,-21488.48814144384,1379.4150390625,1002.686340332031,0.0621,56867.74140690692
118,10188970.77548455,929.2564022303028,1229.683327407144,1318.180786132812,2047.298583984375,1380.540161132812,-21489.18290473936,1379.3935546875,986.5183715820312,0.0627,56865.49495957285
119,10188970.77548455,929.2912245553968,1229.668728072077,1318.877319335938,2048.727294921875,1380.492797851562,-21489.91679866379,1379.372192382812,974.9418334960938,0.0633,56864.57829886998
120,10188970.77548455,929.3338290494072,1229.653954617204,1319.37060546875,2050.162353515625,1380.4541015625,-21490.46640273414,1379.350952148438,966.5321655273438,0.0639,56864.04443317772
121,10188970.77548455,929.4838811274976,1229.639112442229,1319.814575195312,2051.60400390625,1380.428100585938,-21490.98051730182,1379.329956054688,970.9761352539062,0.0645,56863.62641326531
122,10188970.77548455,930.1945480094588,1229.624260116524,1320.155151367188,2053.052001953125,1380.412353515625,-21491.86957236844,1379.308959960938,975.3795776367188,0.0651,56863.21343577265
123,10188970.77548455,930.5495866403764,1229.609405708035,1320.41796875,2054.50634765625,1380.405883789062,-21491.60003899689,1379.2880859375,976.77490234375,0.0657,56862.99184056657
124,10188970.77548455,930.8027010906025,1229.594595701428,1320.625244140625,2055.96728515625,1380.399169921875,-21491.74247941231,1379.267211914062,978.9716186523438,0.0663,56862.74506611974
125,10188970.77548455,930.4768656055488,1229.579837291392,1320.791625976562,2057.434326171875,1380.391723632812,-21492.08558652624,1379.246337890625,982.7944946289062,0.0669,56862.53354687008
126,10188970.77548455,930.3317149576948,1229.565148905842,1320.927001953125,2058.90771484375,1380.383178710938,-21492.23457878776,1379.225463867188,985.7034912109376,0.0675,56862.38246265519
127,10188970.77548455,930.3005435931564,1229.550533052731,1321.038452148438,2060.387451171875,1380.373291015625,-21492.29307239796,1379.20458984375,988.0598754882812,0.0681,56862.22130704424
128,10188970.77548455,930.2384875544057,1229.53600273604,1321.131103515625,2061.87353515625,1380.361938476562,-21492.60448371911,1379.183715820312,988.7066650390624,0.0687,56862.08533270804
129,10188970.77548455,930.0428092223216,1229.521557214859,1321.208740234375,2063.36572265625,1380.34912109375,-21492.34755361989,1379.162719726562,988.13427734375,0.0693,56862.00475563049
130,10188970.77548455,929.6326593356272,1229.507226606414,1321.274047851562,2064.864013671875,1380.3349609375,-21492.92758698341,1379.141967773438,989.2962036132812,0.0699,56861.87885440399
131,10188970.77548455,929.9710024061905,1229.492986539043,1321.329223632812,2066.36865234375,1380.319458007812,-21492.97359151824,1379.121215820312,992.5663452148438,0.0705,56861.79827791164
132,10188970.77548455,929.510239538179,1229.478857143613,1321.376098632812,2067.87939453125,1380.302734375,-21493.24430996769,1379.100463867188,994.9249877929688,0.0711,56861.67741360125
133,10188970.77548455,930.0236587321756,1229.464828366196,1321.415893554688,2069.396240234375,1380.285034179688,-21492.99532469111,1379.079956054688,999.4618530273438,0.0717,56861.63712561197
134,10188970.77548455,929.4820909901788,1229.450911696236,1321.449584960938,2070.91943359375,1380.266357421875,-21492.71179647225,1379.0595703125,1005.248168945312,0.0723,56861.57669373511
135,10188970.77548455,929.6349363666152,1229.437126299869,1321.478393554688,2072.448486328125,1380.2470703125,-21493.33129616813,1379.039428710938,1009.235473632812,0.0729,56861.45079440418
136,10188970.77548455,929.877099773135,1229.423440135787,1321.502563476562,2073.983642578125,1380.22705078125,-21492.96109134609,1379.01953125,1014.085388183594,0.0735,56861.41554269144
137,10188970.77548455,929.7135944458144,1229.409885193992,1321.52294921875,2075.52490234375,1380.20654296875,-21492.94991931559,1378.999877929688,1017.694213867188,0.0741,56861.32489563079
138,10188970.77548455,929.7192966147528,1229.396460235358,1321.540161132812,2077.072021484375,1380.185668945312,-21493.37280713322,1378.98046875,1020.632446289062,0.0747,56861.22417701347
139,10188970.77548455,929.8032635859932,1229.383149047121,1321.554321289062,2078.625244140625,1380.164672851562,-21492.97211619164,1378.96142578125,1032.169189453125,0.0753,56861.18388966644
140,10188970.77548455,929.6301223870948,1229.369980024711,1321.566040039062,2080.1845703125,1380.143432617188,-21493.31150657526,1378.942626953125,1049.719848632812,0.0759,56861.0730997565
141,10188970.77548455,929.3669903746394,1229.356948351595,1321.575439453125,2081.749755859375,1380.122192382812,-21493.83521590168,1378.924194335938,1076.99072265625,0.0765,56860.98748966726
142,10188970.77548455,930.180592783618,1229.344038613998,1321.582885742188,2083.32080078125,1380.101440429688,-21493.90669855175,1378.90625,1111.844116210938,0.0771,56860.9069157011
143,10188970.77548455,929.6874741170914,1229.331265451406,1321.590454101562,2084.89794921875,1380.095825195312,-21493.80522181411,1378.888549804688,1143.736328125,0.0777,56860.85655708821
144,10188970.77548455,929.9030337943592,1229.318615766875,1321.597412109375,2086.480712890625,1380.091064453125,-21492.96531749142,1378.871337890625,1158.618530273438,0.0783,56860.85152123183
145,10188970.77548455,929.8287686677116,1229.306121168041,1321.602905273438,2088.069580078125,1380.08642578125,-21493.53663814624,1378.854614257812,1169.222290039062,0.0789,56860.71051761524
146,10188970.77548455,930.1182673009404,1229.293777261057,1321.607055664062,2089.664306640625,1380.082763671875,-21494.34108719723,1378.838256835938,1174.265380859375,0.0795,56860.58965792907
147,10188970.77548455,929.81250566142,1229.281537765943,1321.609741210938,2091.2646484375,1380.079223632812,-21492.77802442388,1378.822265625,1178.523071289062,0.0801,56860.63498025118
148,10188970.77548455,929.9484457053056,1229.269465567981,1321.611450195312,2092.87109375,1380.075805664062,-21493.30886254318,1378.806762695312,1174.912231445312,0.0806999999999999,56860.51915668272
149,10188970.77548455,929.5984488996842,1229.257537680207,1321.6123046875,2094.483154296875,1380.072631835938,-21494.0068318223,1378.791748046875,1168.736572265625,0.0813,56860.41340514102
150,10188970.77548455,930.0097357019848,1229.245758556036,1321.612182617188,2096.100830078125,1380.069580078125,-21494.37506761872,1378.777221679688,1165.692749023438,0.0819,56860.30261823353
151,10188970.77548455,929.9407481890912,1229.234124186773,1321.611328125,2097.724609375,1380.066772460938,-21494.60244530085,1378.76318359375,1160.494262695312,0.0825,56860.23211769899
152,10188970.77548455,929.9917480714428,1229.222625796147,1321.609619140625,2099.353759765625,1380.064086914062,-21493.5080558224,1378.74951171875,1160.861450195312,0.0831,56860.24722494168
153,10188970.77548455,929.805993260738,1229.211295920811,1321.607421875,2100.98876953125,1380.061645507812,-21494.28062669704,1378.736450195312,1156.8505859375,0.0837,56860.09615287609
154,10188970.77548455,929.6578044752426,1229.20010773593,1321.604614257812,2102.629638671875,1380.059448242188,-21493.59043587147,1378.723876953125,1155.06884765625,0.0843,56860.10622432215
155,10188970.77548455,929.892426715814,1229.189070632618,1321.601318359375,2104.27587890625,1380.057495117188,-21493.49660796153,1378.711791992188,1158.280883789062,0.0849,56860.03572427462
