Test Temperature (F),Specimen,Stress (psi),Rupture Time (hrs)
2700,X2,20000,2.1
2700,X1,15000,15.
2700,X3,15000,14
2700,X4,10000,83
3000,8D,15000,4.4
3000,9D,12500,5.7
3000,10D,7500,10.5
