Temperature [K],Pure W,Pure W Irradiated 1 dpa,WL10,WL10 Irradiated 0.6 dpa
293.65030506406345,332.5295137375674,,,
324.4007626601586,315.8475938677281,,,
373.699115314216,284.4739339705783,,,
423.97367297132394,274.52836127332773,30.08391682888322,,
472.783923123856,259.0279593635298,,,
525.0108907870653,253.4464975740144,,,
574.3092434411226,237.1522027562296,,,
674.8583587553386,223.21343831410945,34.7213748220459,,
772.966961561928,201.73620190398717,37.45048761827286,,
873.516076876144,186.2101358745654,38.19426285869236,,
972.6008846857841,175.44670095005668,,,
1073.15,159.92063492063494,40.8730158730159,,
294.6265100671141,,30.148077127942827,,
324.88886516168395,,29.736240642280904,,
374.67532031726665,,30.50519577365219,,
474.248230628432,,31.646280639569284,,
524.0346857840146,,33.20888656459124,,
573.333038438072,,34.77173460394931,,
973.0889871873094,,40.12899851826023,,
375.6483984625239,,,171.397467026594,
673.9187379884689,,,139.3583934263247,
1076.7374439461883,,,121.11988894267212,111.46612112189818
1275.584336963485,,,116.09451876245188,111.2065350557309
1473.406245996156,,,111.31362605045854,
1676.3530749519537,,,108.9763337773713,108.60973499936722
296.72463164638054,,,,128.5114377827154
373.59843049327344,,,,123.6175828591782
672.8937540038436,,,,115.16295236094676
1476.4811979500319,,,,111.31339120178588
