,time to rupture [h],Creep Stress [MPa],Temperature [C],Material Type
0,4.581088280284946,206.36993600692,1100.0,RW
1,85.05984684186618,155.07846165627055,1100.0,RW
2,228.54638641349885,138.6554579699106,1100.0,RW
3,366.5241237079626,123.24343556662927,1100.0,RW
4,1.0265875934250537,172.42782109517975,1200.0,RW
5,24.564808922013796,137.84096693152983,1200.0,RW
6,34.5510729459222,116.8788334546824,1200.0,RW
7,3.010457348741041,89.65948261519148,1482.0,RW
8,17.162000142216893,68.98202161542079,1482.0,RW
9,27.52302130833624,69.79964843082539,1482.0,RW
10,33.36313529239993,51.68465756920351,1482.0,RW
11,101.32065897066856,51.837132874336696,1482.0,RW
12,6.113990876540338,248.5213511056471,873.0,RW
13,17.162000142216904,242.0285231375333,873.0,RW
14,403.5412539933556,221.58619489093147,873.0,RW
15,13.791170878615272,226.7696700367429,982.0,RW
16,59.42635695769066,206.36993600692,982.0,RW
17,389.6666674901064,172.93650173410526,982.0,RW
