Strain,Stress
0.0272,458.8012357
0.0272,460.9153013
0.0274,463.1968317
0.0274,465.4870694
0.0276,467.0639112
0.0276,469.530321
0.0278,471.9880235
0.0278,474.4544334
0.028,477.2644801
0.028,477.9691687
0.0282,480.250699
0.0282,482.5409367
0.0284,484.4701228
0.0284,486.5841884
0.0286,487.9848581
0.0286,490.0989237
0.0288,492.2042819
0.0288,494.3183475
0.029,496.77605
0.029,497.6569106
0.0292,499.7622689
0.0292,501.8763345
0.0294,503.8055205
0.0296,505.7347066
0.0296,506.7917394
0.0296,508.905805
0.0298,510.4826468
0.0298,512.2443682
0.03,514.7020707
0.03,515.7591034
0.0302,517.5121174
0.0304,519.6174756
0.0304,520.6745084
0.0306,522.7798666
0.0306,523.8368994
0.0308,525.5899134
0.0308,527.3516347
0.031,529.2808208
0.031,530.86637
0.0312,532.4432118
0.0314,534.1962258
0.0314,535.781775
0.0316,537.1824447
0.0316,537.5347889
0.0318,538.7592865
0.0318,539.9924914
0.032,541.216989
0.032,542.4501939
0.0322,543.1461751
0.0322,544.37938
0.0324,545.7800497
0.0324,547.0132546
0.0326,547.8854079
0.0326,548.2377522
0.0328,549.2860776
0.0328,550.5192825
0.033,551.567608
0.0332,552.4397613
0.0332,552.7921055
0.0332,553.4967941
0.0334,554.7212916
0.0336,555.4172728
0.0336,556.1219613
0.0336,556.6504777
0.0338,557.1702868
0.034,558.0424401
0.034,558.5709565
0.0342,559.2669376
0.0342,559.6192819
0.0344,560.3152631
0.0344,561.0199516
0.0346,561.5397606
0.0346,562.068277
0.0348,562.2357418
0.0348,562.5880861
0.035,563.1078951
0.035,563.6364115
0.0352,564.3323927
0.0352,564.3323927
0.0354,564.6760296
0.0354,565.0283738
0.0356,565.5481829
0.0358,565.7156476
0.0358,566.0679919
0.036,566.2354567
0.036,566.587801
0.0362,567.10761
0.0362,567.2837821
0.0364,567.627419
0.0366,567.7948838
0.0366,568.1472281
0.0368,568.490865
0.0368,568.3146928
0.0368,568.490865
0.037,568.8345019
0.0372,568.6496224
0.0372,568.6496224
0.0374,569.1694314
0.0374,569.1694314
0.0376,569.3368962
0.0376,569.5130683
0.0378,569.6805331
0.038,570.02417
0.038,569.6718257
0.0382,569.8392905
0.0384,570.1829274
0.0384,570.0067553
0.0384,570.0067553
0.0386,570.1742201
0.0386,569.9980479
0.0388,570.1655127
0.0388,570.1655127
0.039,570.3329775
0.039,570.3329775
0.0392,570.3242701
0.0394,570.3155628
0.0394,570.4917349
0.0394,570.3155628
0.0396,570.3068554
0.0398,570.298148
0.0398,570.298148
0.0398,570.4743202
0.04,570.2894407
0.04,570.4656128
0.0402,570.4569055
0.0404,570.6243702
0.0404,570.6243702
0.0404,570.4481981
0.0406,570.4394907
0.0408,570.4307834
0.0408,570.6069555
0.0408,570.4307834
0.041,570.422076
0.0412,570.5895408
0.0412,570.4133687
0.0414,570.4046613
0.0414,570.4046613
0.0414,570.5808334
0.0416,570.395954
0.0418,570.5634187
0.0418,570.5634187
0.0418,570.5634187
0.042,570.3785392
0.042,570.3785392
0.0422,570.1936597
0.0424,570.3611245
0.0424,570.3611245
0.0426,570.176245
0.0426,570.176245
0.0428,570.1675377
0.0428,570.3437098
0.043,570.1588303
0.0432,570.3262951
0.0432,570.3262951
0.0434,570.1414156
0.0436,570.1327082
0.0436,569.9565361
0.0438,570.1240009
0.0438,569.9478287
0.044,569.9391214
0.044,569.7629493
0.0442,569.7542419
0.0442,569.930414
0.0444,569.9217067
0.0444,569.9217067
0.0446,569.7368272
0.0448,569.7281198
0.0448,569.7281198
0.045,569.7194125
0.045,569.7194125
0.045,569.5432403
0.0452,569.7107051
0.0454,569.5258256
0.0454,569.5258256
0.0454,569.5258256
0.0456,569.5171183
0.0458,569.5084109
0.0458,569.5084109
0.046,569.6758757
0.046,569.4997035
0.0462,569.4909962
0.0464,569.1299446
0.0464,569.1299446
0.0466,569.1212372
0.0466,568.7688929
0.0468,568.9363577
0.0468,568.9363577
0.047,568.9276504
0.047,568.9276504
0.0472,568.5665987
0.0472,568.7427709
0.0474,568.7340635
0.0476,568.7253562
0.0476,568.7253562
0.0476,568.7253562
0.0478,568.7166488
0.0478,568.3643045
0.048,568.5317693
0.048,568.5317693
0.0482,568.3468898
0.0482,568.3468898
0.0484,568.3381825
0.0486,568.153303
0.0486,568.3294751
0.0486,568.3294751
