Strain,Stress
0.0324,560.8938244
0.0324,561.8942379
0.0326,563.2111565
0.0326,563.7113633
0.0328,565.1950174
0.0328,565.8619598
0.033,567.1788784
0.033,568.1792919
0.0332,568.8292681
0.0332,569.9964172
0.0334,570.9798647
0.0334,571.9802782
0.0336,573.2971968
0.0336,573.6306679
0.0338,574.2806442
0.0338,575.7812644
0.034,576.5979763
0.0342,577.5814237
0.0342,578.0816305
0.0342,579.2487796
0.0344,579.8987558
0.0346,580.8822032
0.0346,581.5491456
0.0346,582.0493523
0.0348,583.3662709
0.035,584.1829828
0.035,585.0166607
0.0352,585.6666369
0.0352,586.1668437
0.0352,586.833786
0.0354,587.8172335
0.0356,588.3004741
0.0356,589.3008876
0.0356,589.8010944
0.0358,590.2843351
0.036,591.2677825
0.036,591.7679892
0.0362,592.9181723
0.0362,593.2516434
0.0364,594.2350909
0.0366,595.0518027
0.0366,595.8854806
0.0368,596.2019857
0.037,597.1854331
0.037,597.5189043
0.0372,598.1688806
0.0372,598.6690873
0.0372,599.0025585
0.0374,599.8192703
0.0376,600.302511
0.0376,600.8027178
0.0376,600.9694533
0.0378,601.452694
0.038,602.1026703
0.038,602.7696126
0.0382,603.4195889
0.0382,603.2528533
0.0384,603.9028295
0.0384,604.4030363
0.0386,604.7195414
0.0386,604.886277
0.0388,605.5362532
0.0388,606.2031956
0.039,606.0194939
0.039,606.5197007
0.0392,607.0029413
0.0392,607.5031481
0.0394,607.486182
0.0394,608.3198599
0.0396,608.8031006
0.0396,609.1365718
0.0398,609.2863413
0.0398,609.2863413
0.04,609.769582
0.04,610.2697887
0.0402,610.5862938
0.0402,610.4195582
0.0404,610.9027989
0.0404,611.0695345
0.0406,611.3860396
0.0406,611.5527751
0.0408,611.8692802
0.0408,612.2027514
0.041,612.5192565
0.041,612.8527277
0.0412,613.0024972
0.0412,613.3359683
0.0414,613.1522667
0.0416,613.8022429
0.0416,613.9689785
0.0418,614.118748
0.0418,614.118748
0.0418,614.2854836
0.042,614.6019887
0.0422,614.9184938
0.0422,615.0852294
0.0422,615.251965
0.0424,615.2349989
0.0426,615.551504
0.0426,615.7182396
0.0428,615.8680091
0.0428,616.0347447
0.0428,616.3682158
0.043,616.1845142
0.0432,616.5010193
0.0432,616.5010193
0.0432,616.6677548
0.0434,616.6507888
0.0436,616.8005583
0.0436,616.9672938
0.0438,617.1170634
0.0438,617.4505345
0.044,617.2668329
0.044,617.4335684
0.0442,617.583338
0.0442,617.7500735
0.0444,617.7331075
0.0444,617.899843
0.0446,617.7161414
0.0446,617.882877
0.0448,617.8659109
0.0448,618.3661176
0.045,618.0156804
0.045,618.5158872
0.0452,618.3321855
0.0452,618.1654499
0.0454,618.3152194
0.0456,618.4649889
0.0456,618.6317245
0.0458,618.4480228
0.0458,618.6147584
0.0458,618.9482296
0.046,618.5977924
0.0462,618.7475619
0.0462,618.9142974
0.0464,619.0640669
0.0464,618.7305958
0.0466,618.8803653
0.0466,619.0471009
0.0468,619.1968704
0.0468,619.0301348
0.047,619.1799043
0.047,619.1799043
0.0472,619.1629382
0.0472,619.3296738
0.0474,619.1459721
0.0474,619.1459721
0.0476,619.4624772
0.0476,619.4624772
0.0478,619.4455112
0.0478,619.4455112
0.048,619.7620163
0.048,619.4285451
0.0482,619.411579
0.0482,619.411579
0.0484,619.3946129
0.0484,619.7280841
0.0486,619.3776469
0.0488,619.5274164
0.0488,619.5274164
0.049,619.6771859
0.049,619.3437147
0.049,619.5104503
0.0492,619.6602198
0.0494,619.4765181
0.0494,619.4765181
0.0496,619.6262876
0.0498,619.7760571
0.0498,619.442586
0.05,619.7590911
0.05,619.4256199
0.05,619.2588843
0.0502,619.2419182
0.0504,619.2249522
0.0504,619.3916877
0.0506,619.3747217
0.0508,619.5244912
0.0508,619.3577556
0.051,619.5075251
0.051,619.1740539
0.051,619.5075251
0.0512,619.1570879
0.0514,619.3068574
0.0516,619.2898913
0.0516,619.2898913
0.0518,619.1061896
0.0518,619.1061896
0.052,619.2559591
0.052,619.0892235
0.0522,618.9055219
0.0522,619.0722575
0.0524,619.0552914
0.0524,619.0552914
0.0526,618.8715897
0.0528,618.8546237
0.0528,618.8546237
0.053,618.8376576
0.053,618.670922
0.0532,618.8206915
0.0532,618.4872203
0.0534,618.8037254
0.0534,618.4702543
0.0536,618.6200238
0.0536,618.2865526
0.0538,618.6030577
0.0538,618.4363221
0.054,618.5860916
0.0542,618.0689188
0.0542,618.4023899
0.0544,618.2186883
0.0544,618.0519527
0.0546,618.3684578
0.0546,618.2017222
0.0548,618.0180205
0.055,617.8343189
0.055,618.0010545
0.055,617.8343189
0.0552,617.8173528
0.0552,617.6506172
0.0554,617.8003867
0.0554,617.8003867
0.0556,617.7834207
0.0556,617.6166851
0.0558,617.4329834
0.0558,617.7664546
0.056,617.5827529
0.056,617.4160173
0.0562,617.7325224
0.0562,617.5657868
0.0564,617.2153496
0.0566,617.3651191
0.0566,617.1983835
0.0566,617.0316479
0.0568,617.1814174
0.0568,617.0146819
0.057,617.3311869
0.057,616.8309802
0.0572,617.1474853
0.0572,616.9807497
0.0574,617.1305192
0.0576,616.780082
0.0576,616.780082
0.0578,616.5963803
0.0578,616.7631159
0.058,616.7461498
0.058,616.2459431
0.0582,616.3957126
0.0582,616.228977
0.0584,616.5454821
0.0584,616.5454821
0.0586,616.3617804
0.0586,616.528516
0.0588,616.3448143
0.0588,616.1780788
0.059,616.3278483
0.059,615.9943771
0.0592,616.1441466
0.0592,616.1441466
0.0594,615.7937094
0.0594,615.9604449
0.0596,615.7767433
0.0598,615.426306
0.0598,615.5930416
0.06,615.40934
0.0602,615.3923739
0.0602,615.725845
0.0602,615.5591095
0.0604,615.3754078
0.0604,615.2086722
0.0606,615.1917061
0.0606,615.1917061
0.0608,614.8412689
0.0608,614.8412689
0.061,615.157774
0.0612,614.9740723
0.0612,614.9740723
0.0612,614.9740723
0.0614,614.6236351
0.0616,614.606669
0.0616,614.606669
0.0616,614.9401402
0.0618,614.7564385
0.0618,614.5897029
0.062,614.5727368
0.0622,614.3890352
0.0622,614.3890352
0.0622,614.2222996
0.0624,614.5388047
0.0626,614.1883674
0.0626,614.355103
0.0626,614.355103
0.0628,614.1714014
0.063,614.1544353
0.063,613.9876997
0.0632,613.9707336
0.0632,613.4705269
0.0634,613.6202964
0.0634,613.6202964
0.0636,613.4365947
0.0636,613.4365947
0.0638,613.2528931
0.0638,613.2528931
0.064,613.235927
0.064,613.235927
0.0642,613.0522253
0.0642,613.2189609
0.0644,613.2019948
0.0644,613.0352593
0.0646,612.8515576
0.0646,613.0182932
0.0648,612.6678559
0.0648,612.8345915
0.065,612.6508899
0.0652,612.8006594
0.0652,612.3004526
0.0654,612.6169577
0.0654,612.4502221
0.0656,612.433256
0.0656,612.2665205
0.0658,612.2495544
0.0658,612.2495544
0.066,611.8991171
0.0662,611.5486799
0.0662,611.7154155
0.0662,611.5486799
0.0664,611.6984494
0.0664,611.5317138
0.0666,611.6814833
0.0668,611.6645172
0.0668,611.3310461
0.0668,611.3310461
0.067,611.4808156
0.0672,611.2971139
0.0672,611.2971139
0.0672,611.1303783
0.0674,610.7799411
0.0674,611.1134123
0.0676,610.9297106
0.0678,610.9127445
0.0678,610.7460089
0.0678,610.5792734
0.068,610.7290429
0.0682,610.7120768
0.0682,610.5453412
0.0682,610.5453412
0.0684,610.194904
0.0686,609.8444667
0.0686,610.0112023
0.0688,610.1609718
0.0688,610.1609718
0.069,609.9772701
0.069,609.8105346
0.0692,609.6268329
0.0692,609.9603041
0.0694,609.943338
0.0694,609.7766024
0.0696,609.5929007
0.0696,609.5929007
0.0698,609.7426702
0.0698,609.7426702
0.07,609.5589686
0.07,609.2254974
0.0702,609.0417958
0.0702,609.2085313
0.0704,609.1915653
0.0704,609.0248297
0.0706,609.3413348
0.0706,609.1745992
0.0708,608.9908975
0.0708,608.8241619
0.071,608.6404603
0.071,607.8067824
0.0712,607.7898163
0.0712,608.4567586
0.0714,608.273057
0.0714,608.273057
0.0716,608.2560909
0.0716,607.9226197
0.0718,606.9052401
0.0718,606.9052401
0.072,607.3884808
0.072,607.721952
0.0722,607.5382503
0.0724,606.5208707
0.0724,606.3541351
0.0726,607.0041114
0.0726,607.3375826
0.0728,606.8204097
0.0728,606.4869386
0.073,606.1365013
0.073,605.9697657
0.0732,606.2862708
0.0732,606.4530064
0.0734,606.7695115
0.0734,605.6023624
0.0736,604.2515117
0.0738,603.7343388
0.0738,604.06781
0.0738,604.06781
0.074,604.3843151
0.0742,604.0338779
0.0742,604.5340846
0.0744,604.0169118
0.0744,604.1836474
0.0746,603.3330034
0.0746,602.666061
0.0748,602.649095
0.0748,602.4823594
0.075,602.6321289
0.075,602.1319221
0.0752,602.6151628
0.0752,602.7818984
0.0754,602.9316679
0.0754,603.2651391
0.0756,603.248173
0.0756,603.0814374
0.0758,603.2312069
0.0758,603.3979425
0.076,603.0475052
0.076,603.3809764
0.0762,603.1972748
0.0762,603.5307459
0.0764,603.5137798
0.0764,603.6805154
0.0766,603.8302849
0.0766,603.8302849
0.0768,603.8133189
0.0768,603.4798477
0.077,603.4628816
0.077,603.7963528
0.0772,603.6126511
0.0772,603.27918
0.0774,603.0954783
0.0774,603.2622139
0.0776,603.9121901
0.0776,604.0789257
0.0778,604.0619596
0.078,603.878258
0.078,603.5447868
0.0782,602.6941428
0.0782,602.1939361
0.0784,602.3437056
0.0784,602.17697
0.0786,602.3267395
0.0786,602.6602107
0.0788,602.3097734
0.079,602.2928073
0.079,602.4595429
0.079,602.7930141
0.0792,602.9427836
0.0794,602.7590819
0.0794,602.4256108
0.0794,602.5923464
0.0796,602.4086447
0.0796,602.5753803
0.0798,602.7251498
0.08,602.3747125
0.08,602.207977
0.08,602.207977
0.0802,602.1910109
0.0804,602.3407804
0.0804,602.507516
0.0804,602.6742516
0.0806,602.4905499
0.0806,602.3238143
0.0808,602.3068482
0.081,602.1231466
0.081,602.1231466
0.081,602.1231466
0.0812,601.9394449
0.0812,601.9394449
0.0814,601.9224788
0.0814,601.9224788
0.0816,601.7387772
0.0818,601.8885467
0.0818,601.2216043
0.082,601.3713739
0.082,601.2046383
0.0822,601.0209366
0.0822,600.854201
0.0824,600.8372349
0.0824,600.8372349
0.0824,600.5037638
0.0826,600.4867977
0.0828,600.303096
0.0828,600.1363605
0.083,599.9526588
0.0832,600.1024283
0.0832,599.9356927
0.0834,599.9187266
0.0834,599.5852555
0.0836,599.5682894
0.0836,599.5682894
0.0838,599.5513233
0.0838,599.5513233
0.084,599.0341505
0.084,598.8674149
0.0842,598.6837132
0.0842,598.6837132
0.0844,598.8334828
0.0844,598.8334828
0.0846,598.8165167
