Strain,Stress
0,0
0.0002,4.2366
0.0002,4.2366
0.0004,8.4732
0.0006,12.7098
0.0006,12.7098
0.0008,16.9464
0.001,21.183
0.001,21.183
0.0012,25.4196
0.0012,25.4196
0.0014,29.6562
0.0014,29.6562
0.0016,33.8928
0.0016,33.8928
0.0018,38.1294
0.0018,38.1294
0.002,42.366
0.0022,46.6026
0.0022,46.6026
0.0022,46.6026
0.0024,50.8392
0.0026,55.0758
0.0026,55.0758
0.0028,59.3124
0.0028,59.3124
0.003,63.549
0.003,63.549
0.0032,67.7856
0.0032,67.7856
0.0034,72.0222
0.0034,72.0222
0.0036,76.2588
0.0036,76.2588
0.0038,80.4954
0.0038,80.4954
0.004,84.732
0.004,84.732
0.0042,88.9686
0.0042,88.9686
0.0044,93.2052
0.0044,93.2052
0.0046,97.4418
0.0048,101.6784
0.0048,101.6784
0.0048,101.6784
0.005,105.915
0.005,105.915
0.0052,110.1516
0.0052,110.1516
0.0054,114.3882
0.0054,114.3882
0.0056,118.6248
0.0058,122.8614
0.0058,122.8614
0.006,127.098
0.006,127.098
0.0062,131.3346
0.0062,131.3346
0.0064,135.5712
0.0064,135.5712
0.0066,139.8078
0.0066,139.8078
0.0068,144.0444
0.0068,144.0444
0.007,148.281
0.007,148.281
0.0072,152.5176
0.0072,152.5176
0.0074,156.7542
0.0074,156.7542
0.0076,160.9908
0.0076,160.9908
0.0078,165.2274
0.008,169.464
0.008,169.464
0.0082,173.7006
0.0082,173.7006
0.0084,177.9372
0.0084,177.9372
0.0086,182.1738
0.0086,182.1738
0.0088,186.4104
0.0088,186.4104
0.009,190.647
0.009,190.647
0.0092,194.8836
0.0092,194.8836
0.0094,199.1202
0.0094,199.1202
0.0096,203.3568
0.0096,203.3568
0.0098,207.5934
0.0098,207.5934
0.01,211.5361005
0.0102,213.8825974
0.0102,216.2322372
0.0104,218.0752399
0.0104,218.5787342
0.0104,220.5927112
0.0106,222.9392081
0.0108,224.9500422
0.0108,227.299682
0.0108,227.8031763
0.011,230.3175046
0.011,232.3314816
0.0112,234.1744843
0.0114,236.5209812
0.0114,237.8636325
0.0114,240.045441
0.0116,242.5597693
0.0118,244.7384348
0.0118,247.0880746
0.012,248.5954145
0.012,251.1128857
0.0122,253.9628769
0.0122,256.1446853
0.0124,258.3233508
0.0124,259.1625079
0.0126,261.8446677
0.0126,264.3621389
0.0128,267.2121301
0.013,270.0621213
0.013,272.4117611
0.0132,275.0939208
0.0132,277.6113921
0.0134,280.2935519
0.0134,280.9648775
0.0136,284.1505315
0.0138,286.8326913
0.0138,290.1893196
0.014,292.0323223
0.014,294.717625
0.0142,297.3997847
0.0144,300.7532701
0.0144,303.2707414
0.0144,304.1098985
0.0146,306.7920582
0.0146,309.1416981
0.0148,311.488195
0.015,314.3381862
0.015,315.6808375
0.015,318.0304773
0.0152,320.8804685
0.0154,323.2269654
0.0154,325.9122681
0.0154,327.2549194
0.0156,330.1049106
0.0158,332.2835761
0.0158,335.472373
0.016,338.1545328
0.016,338.8258584
0.0162,341.3401868
0.0162,344.0254895
0.0164,346.5398178
0.0164,348.7216262
0.0166,350.2289661
0.0166,352.9142687
0.0168,355.0929342
0.0168,358.1138997
0.017,360.7960595
0.017,361.2995537
0.0172,364.1495449
0.0172,366.1635219
0.0174,369.0135131
0.0174,371.5309843
0.0176,372.8704928
0.0176,375.5557954
0.0178,377.7344609
0.0178,380.0841008
0.018,382.4305977
0.018,383.6054176
0.0182,385.7840831
0.0182,388.8050486
0.0184,391.319377
0.0184,393.6690168
0.0186,394.3371995
0.0186,396.8546708
0.0188,399.704662
0.0188,401.8864704
0.019,403.8973045
0.019,405.2399558
0.0192,407.5864527
0.0192,409.9360926
0.0194,412.6182523
0.0194,414.4643979
0.0196,415.4682435
0.0196,418.3213776
0.0198,420.6678745
0.0198,422.8496829
0.02,425.3640113
0.02,425.8675055
0.0202,428.5496653
0.0202,430.3958108
0.0204,432.9101392
0.0206,434.9209733
0.0206,436.0957932
0.0206,438.445433
0.0208,440.79193
0.021,442.802764
0.021,444.6489096
0.021,446.1593924
0.0212,448.8415521
0.0214,451.3558805
0.0216,453.8702088
0.0216,455.7163544
0.0218,457.7271885
0.0218,459.9089969
0.022,462.0876624
0.022,463.933808
0.0222,464.9376536
0.0222,466.7837992
0.0224,468.7946333
0.0224,470.6407788
0.0226,472.1481187
0.0226,473.9942643
0.0228,476.1729298
0.0228,478.0190754
0.023,479.862078
0.023,481.5403922
0.0232,482.7120692
0.0232,484.5582148
0.0234,485.8977232
0.0234,487.9117002
0.0236,489.9225343
0.0236,490.9295228
0.0238,493.1081883
0.0238,494.6186711
0.024,496.4616737
0.0242,498.136845
0.0242,499.1438335
0.0242,501.1578105
0.0244,502.8329817
0.0246,504.8438158
0.0246,506.6899614
0.0246,507.1934557
0.0248,509.0364583
0.025,510.879461
0.025,512.5577752
0.0252,514.2329464
0.0252,515.7434292
0.0254,517.5864319
0.0254,519.4325774
0.0256,521.2755801
0.0258,523.1185828
0.0258,523.2864142
0.0258,525.1325598
0.026,526.807731
0.026,528.6538766
0.0262,530.3290479
0.0262,530.8325421
0.0264,532.339882
0.0264,533.8503647
0.0266,535.525536
0.0266,537.2038502
0.0268,538.0398643
0.0268,539.5503471
0.027,541.3933497
0.0272,543.5720153
0.0272,545.082498
0.0274,546.4220064
0.0274,548.1003206
0.0276,549.6076604
0.0278,551.4506631
0.0278,551.7863259
0.0278,553.2968087
0.028,554.8041485
0.0282,556.3114884
0.0282,557.8219711
0.0282,558.6611282
0.0284,560.0006366
0.0286,561.6758079
0.0286,563.0184592
0.0288,564.3579676
0.0288,564.6936305
0.0288,566.0362818
0.029,567.5436216
0.0292,569.0509615
0.0292,570.3936128
0.0292,570.8971071
0.0294,572.7401097
0.0296,574.0796182
0.0296,575.5901009
0.0298,576.5939465
0.0298,577.2652722
0.03,578.6047806
0.03,579.7796005
0.0302,580.9512775
0.0302,582.2939289
0.0304,582.6264488
0.0304,584.1369315
0.0306,585.47644
0.0306,586.4834285
0.0308,587.487274
0.0308,588.4942625
0.031,589.6659395
0.0312,591.1732794
0.0312,592.5159307
0.0314,593.5197763
0.0314,593.8554391
0.0316,595.1949476
0.0316,596.3697675
0.0318,597.3736131
0.0318,598.8840958
0.032,599.8879414
0.032,600.8949299
0.0322,601.8987755
0.0324,602.5669583
0.0324,603.7417782
0.0326,604.7456238
0.0326,605.7526123
0.0328,606.9242893
0.0328,607.9312778
0.033,608.0959663
0.033,609.2707862
0.0332,610.2746318
0.0332,610.9459575
0.0334,611.949803
0.0334,612.7889601
0.0336,613.6249743
0.0338,614.4609885
0.0338,615.467977
0.034,616.4718226
0.034,616.8074854
0.0342,617.4756682
0.0342,618.6504881
0.0344,619.6543337
0.0344,620.4934907
0.0346,621.3295049
0.0346,622.168662
0.0348,623.0046762
0.035,623.8406903
0.035,624.0085218
0.0352,624.8445359
0.0352,625.683693
0.0354,626.3518758
0.0354,627.1910329
0.0356,627.3557214
0.0356,628.1948784
0.0358,629.0308926
0.0358,629.5343869
0.036,630.370401
0.036,630.5382325
0.0362,631.2064152
0.0362,631.7099095
0.0364,632.5459236
0.0366,633.046275
0.0366,633.2141064
0.0366,633.8854321
0.0368,634.5536148
0.037,635.2217976
0.037,635.7252918
0.037,636.0609547
0.0372,636.3934746
0.0372,637.0648003
0.0374,637.732983
0.0376,638.2333343
0.0376,638.5689972
0.0376,638.7368286
0.0378,639.4050114
0.0378,639.9085056
0.038,640.0731941
0.0382,640.7413769
0.0382,640.9092083
0.0384,641.4095596
0.0384,641.7452225
0.0386,642.4134052
0.0386,642.5812366
0.0388,642.9137566
0.0388,643.5850822
0.039,643.9176021
0.039,644.4210964
0.0392,644.7536163
0.0394,645.2539677
0.0394,645.5896305
0.0396,645.9221504
0.0396,646.0899818
0.0396,646.2578132
0.0398,646.7581646
0.04,646.9228531
0.04,647.2585159
0.04,647.4263473
0.0402,647.9266987
0.0404,648.0913872
0.0404,648.42705
0.0406,648.5917385
0.0406,648.5917385
0.0408,648.9242584
0.0408,649.0920899
0.041,649.4246098
0.041,649.7602726
0.0412,649.7571297
0.0412,650.0927925
0.0414,650.4253125
0.0414,650.4253125
0.0416,650.7578324
0.0416,650.9256638
0.0418,650.9225209
0.0418,651.2581837
0.042,651.4228722
0.042,651.5907037
0.0422,651.5875607
0.0422,651.7553922
0.0424,651.7522492
0.0424,652.0879121
0.0426,652.2526006
0.0426,652.0847692
0.0428,652.4172891
0.0428,652.2494577
0.043,652.749809
0.0432,652.7466661
0.0432,652.7466661
0.0432,652.9144975
0.0434,653.079186
0.0436,653.0760431
0.0436,653.411706
0.0436,653.411706
0.0438,653.408563
0.044,653.741083
0.044,653.9089144
0.0442,653.9057715
0.0442,654.0736029
0.0442,653.9057715
0.0444,654.2382914
0.0444,654.2382914
0.0446,654.4029799
0.0446,654.4029799
0.0448,654.5676684
0.045,654.3966941
0.045,654.3966941
0.0452,654.3935512
0.0452,654.729214
0.0454,654.5582397
0.0454,654.7260711
0.0456,654.8907596
0.0456,654.8907596
0.0458,654.7197853
0.0458,654.5519539
0.046,654.8844738
0.046,654.8844738
0.0462,654.8813309
0.0462,654.8813309
0.0464,654.7103565
0.0464,654.878188
0.0466,655.0428765
0.0468,654.8719021
0.0468,654.8719021
0.047,654.8687592
0.047,655.0365906
0.0472,655.0334477
0.0472,655.2012791
0.0474,655.0303048
0.0474,654.8624734
0.0476,655.0271619
0.0478,655.024019
0.0478,654.8561876
0.048,655.0208761
0.048,655.0208761
0.0482,655.0177332
0.0482,655.1855646
0.0484,654.8467589
0.0486,655.1792788
0.0486,655.0114474
0.0488,655.1761359
0.0488,655.1761359
0.049,655.172993
0.049,655.172993
0.0492,655.0020186
0.0492,655.16985
0.0494,655.1667071
0.0496,655.3313956
0.0496,655.1635642
0.0498,655.1604213
0.0498,654.9925899
0.05,655.3251098
0.05,655.1572784
0.0502,655.3219669
0.0502,655.1541355
0.0504,654.9831612
0.0504,654.9831612
0.0506,655.1478497
0.0506,654.8121868
0.0508,654.9768753
0.0508,655.1447068
0.051,655.1415639
0.0512,654.9705895
0.0512,655.1384209
0.0514,654.9674466
0.0514,654.9674466
0.0514,654.7996152
0.0516,654.9643037
0.0516,654.7964723
0.0518,654.7933294
0.0518,654.7933294
0.052,654.7901865
0.0522,654.954875
0.0522,654.7870436
0.0524,654.7839006
0.0524,654.9517321
0.0526,654.7807577
0.0526,654.9485892
0.0528,654.6097834
0.0528,654.6097834
0.053,654.6066405
0.053,654.6066405
0.0532,654.6034976
0.0532,654.6034976
0.0534,654.4325233
0.0534,654.6003547
0.0536,654.4293803
0.0536,654.4293803
0.0538,654.7619003
0.0538,654.4262374
0.054,654.4230945
0.054,654.2552631
0.0542,654.4199516
0.0542,654.2521202
0.0544,654.0811459
0.0544,654.0811459
0.0546,654.2458344
0.0546,654.2458344
0.0548,654.2426915
0.0548,654.0748601
0.055,654.2395486
0.055,654.0717171
0.0552,654.0685742
0.0552,654.2364056
0.0554,654.4010942
0.0554,654.2332627
0.0556,654.0622884
0.0556,654.0622884
0.0558,653.8913141
0.0558,654.0591455
0.056,653.8881712
0.056,653.8881712
0.0562,653.8850283
0.0564,653.8818854
0.0564,653.7140539
0.0564,653.8818854
0.0566,653.710911
0.0566,653.710911
0.0568,653.5399367
0.0568,653.5399367
0.057,653.5367938
0.057,653.3689624
0.0572,653.3658195
0.0572,653.197988
0.0574,653.1948451
0.0574,653.1948451
0.0576,653.3595336
0.0578,653.1885593
0.0578,653.1885593
0.058,653.1854164
0.058,653.1854164
0.0582,653.0144421
0.0582,653.1822735
0.0584,653.1791306
0.0584,652.8434677
0.0586,653.0081563
0.0586,652.8403248
0.0588,652.8371819
0.0588,652.8371819
0.059,652.6662076
0.059,652.834039
0.0592,652.8308961
0.0592,652.8308961
0.0594,652.8277532
0.0596,652.6567789
0.0596,652.6567789
0.0596,652.6567789
0.0598,652.4858045
0.06,652.4826616
0.06,652.4826616
0.06,652.3148302
0.0602,652.3116873
0.0602,652.3116873
0.0604,652.140713
0.0606,652.3054015
