Strain,Stress
0,9.879201215
0,10.04953227
0,10.21986333
0.0002,12.77071605
0.0002,14.81468872
0.0004,16.51388616
0.0004,17.36554144
0.0004,18.21719672
0.0006,19.06473889
0.0006,0
0.0008,20.59360528
0.0008,21.78592266
0.001,22.46313378
0.001,23.48512011
0.0012,24.67332439
0.0012,25.69531072
0.0014,27.22417712
0.0014,27.56483923
0.0016,29.09370562
0.0016,30.28602301
0.0018,31.64455834
0.002,33.34375579
0.002,34.70640423
0.0022,36.23527062
0.0022,37.76825012
0.0024,38.9564544
0.0024,39.46744757
0.0026,40.14465868
0.0026,40.65565185
0.0028,40.99220085
0.003,41.32874985
0.003,41.66941196
0.003,42.01007408
0.0032,42.34662308
0.0032,43.36860941
0.0034,44.55681369
0.0034,45.06780686
0.0036,46.08568008
0.0036,47.10766641
0.0038,48.12553964
0.0038,48.97719492
0.004,49.14341286
0.004,49.65440603
0.0042,50.33161714
0.0042,50.84261031
0.0044,51.17915931
0.0046,51.34537726
0.0046,51.68603937
0.0048,52.02258838
0.005,52.35913738
0.005,52.52946843
0.005,52.35913738
0.0052,53.03634849
0.0052,53.03634849
0.0054,53.88389066
0.0054,53.88389066
0.0056,54.56110178
0.0056,55.75341916
0.0058,56.43063028
0.0058,57.79327872
0.006,58.12982772
0.006,59.66280722
0.0062,60.8510115
0.0064,62.37987789
0.0064,63.91285739
0.0064,64.59418162
0.0066,65.95271695
0.0066,67.48569645
0.0068,69.01456284
0.007,70.71376029
0.007,71.39508451
0.007,73.09839506
0.0072,74.96792357
0.0072,76.84156518
0.0074,78.88142473
0.0074,79.3924179
0.0076,81.09161535
0.0076,82.62459484
0.0078,85.17544757
0.008,87.04497607
0.008,87.72630029
0.008,90.28126612
0.0082,92.32112568
0.0084,94.70164735
0.0084,96.4049579
0.0084,97.59727529
0.0086,100.148128
0.0088,102.0176565
0.0088,104.4022913
0.009,106.6124819
0.009,107.1234751
0.0092,110.0149899
0.0092,112.5699557
0.0094,114.9504774
0.0094,116.9944501
0.0094,117.5054432
0.0096,120.056296
0.0098,122.4368176
0.0098,124.4807903
0.01,126.6909809
0.01,128.0536294
0.0102,130.0934889
0.0102,132.4781237
0.0104,134.6883143
0.0104,137.4136112
0.0106,138.6018155
0.0106,140.9864502
0.0108,143.0263098
0.0108,145.4109446
0.011,148.1321284
0.011,149.3244457
0.0112,151.7049674
0.0112,153.9192711
0.0114,156.2997928
0.0114,159.1954207
0.0116,160.0429629
0.0116,162.5979287
0.0118,165.6597746
0.012,168.0402963
0.012,170.2546
0.012,170.7655932
0.0122,173.1461149
0.0122,175.7010807
0.0124,178.0816024
0.0126,181.3137793
0.0126,181.8247725
0.0126,184.3797383
0.0128,187.1009221
0.013,190.333099
0.013,192.3770717
0.013,193.0583959
0.0132,195.6092486
0.0132,198.1642145
0.0134,200.7150672
0.0134,202.9293709
0.0136,204.6285684
0.0136,207.5241963
0.0138,210.075049
0.014,213.307226
0.014,216.0325229
0.014,216.8841781
0.0142,219.775693
0.0144,223.0078699
0.0144,226.24416
0.0146,229.816999
0.0148,232.7085139
0.0148,235.2634797
0.015,238.1549945
0.015,241.7319467
0.0152,244.7937926
0.0154,247.5149764
0.0154,250.0699422
0.0156,253.1317881
0.0156,253.8131123
0.0156,256.5384092
0.0158,259.429924
0.016,261.9807767
0.016,265.5577289
0.016,266.0687221
0.0162,268.9602369
