Strain,Stress
0,6.968641115
0,6.802721088
0,6.968641115
0,8.130081301
0.0002,8.952592727
0.0002,8.952592727
0.0004,9.443264101
0.0004,9.609184128
0.0004,9.941024181
0.0006,10.0998555
0.0008,10.42460685
0.0008,10.59052687
0.0008,10.7564469
0.001,10.91527822
0.0012,11.07410954
0.0012,11.57186962
0.0014,11.73070094
0.0014,11.73070094
0.0016,12.22137232
0.0016,12.38729234
0.0018,12.87796372
0.0018,13.3757238
0.002,13.53455512
0.002,13.86639517
0.0022,14.52298657
0.0024,14.84773792
0.0024,15.51141802
0.0024,15.84325808
0.0026,16.33392945
0.0026,16.99760956
0.0028,17.65420096
0.003,18.31079236
0.003,18.80855244
0.0032,19.46514384
0.0032,20.29474397
0.0034,20.78541534
0.0034,21.44909545
0.0036,22.27160687
0.0038,22.92819827
0.0038,23.75779841
0.004,24.24846978
0.004,24.58030983
0.0042,25.40282126
0.0042,26.56426145
0.0044,27.5526929
0.0044,28.38229303
0.0046,28.37520433
0.0046,29.53664451
0.0048,30.35915594
0.0048,31.3546761
0.005,32.34310755
0.005,32.6749476
0.0052,33.49745903
0.0052,34.16113914
0.0054,35.31549062
0.0056,36.4698421
0.0056,36.80168215
0.0056,37.63128228
0.0058,38.61971374
0.0058,39.44931387
0.006,40.60366535
0.006,41.26734545
0.0062,42.25577691
0.0064,43.41012839
0.0064,45.06932865
0.0066,46.72144021
0.0068,48.20763175
0.0068,49.86683201
0.007,51.02118349
0.007,52.3485437
0.007,52.68038376
0.0072,54.16657529
0.0074,55.4868468
0.0074,56.98012703
0.0076,58.96407865
0.0076,59.2959187
0.0078,60.78211023
0.0078,62.60723052
0.008,64.25934208
0.008,65.75262232
0.0082,66.40921372
0.0082,68.23433401
0.0084,70.21828563
0.0084,71.71156587
0.0086,73.69551748
0.0086,74.19327756
0.0088,76.01130914
0.0088,77.50458938
0.009,79.32262097
0.009,81.14774126
0.0092,82.13617271
0.0092,83.79537298
0.0094,85.77932459
0.0096,87.43143615
0.0096,89.42247647
0.0096,90.08615658
0.0098,91.90418816
0.01,93.88813978
0.01,96.21102015
0.0102,98.02905173
0.0104,100.3448434
0.0104,102.0040437
0.0106,104.4857554
0.0106,106.3108756
0.0108,108.1289072
0.0108,109.9540275
0.011,111.7720591
0.0112,113.7560107
0.0112,115.0833709
0.0114,117.3991626
0.0114,119.2242829
0.0116,121.3741545
0.0116,123.8629549
0.0118,124.1877063
0.0118,126.0128266
0.012,128.4945383
0.012,131.1492587
0.0122,133.1332103
0.0122,133.4650504
0.0124,135.449002
0.0124,137.6059623
0.0126,139.5899139
0.0126,141.7468743
0.0128,142.9012257
0.0128,145.0581861
0.013,147.0421377
0.0132,149.0260893
0.0132,150.8512096
0.0132,151.8467298
0.0134,154.4943615
0.0136,156.4783131
0.0136,158.6352734
0.0138,160.453305
0.0138,161.1169851
0.0138,162.9421054
0.014,165.2578971
0.0142,167.2418487
0.0142,169.3988091
0.0142,170.5602492
0.0144,172.5442009
0.0146,174.8599925
0.0146,177.1828729
0.0148,179.1668245
0.0148,180.3282647
0.015,182.6440564
0.015,184.8010167
0.0152,186.7849683
0.0152,189.1078487
0.0154,190.5940402
0.0154,192.9169206
0.0156,195.0667922
0.0156,197.5555926
0.0158,200.2032243
0.0158,201.0328245
0.016,203.5145362
0.016,205.8374165
0.0162,207.8213682
0.0162,210.3101685
0.0164,211.9622801
0.0164,214.4510805
0.0166,216.4350321
0.0168,218.7508238
0.0168,220.9077841
0.0168,222.7329044
0.017,224.8827761
0.0172,227.1985677
0.0172,229.6873681
0.0174,231.8372398
0.0174,233.6623601
0.0176,236.3099918
0.0176,238.9647122
0.0178,241.4464239
0.0178,244.1011443
0.018,244.9236557
0.018,247.9102162
0.0182,250.5578479
0.0184,253.5373197
0.0184,256.0261201
0.0184,256.6898002
0.0186,259.1715119
0.0186,261.4943923
