Strain,Stress
0.0322,700.5604147
0.0324,701.9047379
0.0324,702.4088591
0.0324,703.2490611
0.0326,704.0892631
0.0326,705.2655458
0.0328,706.2737882
0.0328,706.7779094
0.033,707.9541922
0.0332,708.7943942
0.0332,709.6345962
0.0334,710.4747981
0.0334,710.9789193
0.0336,711.9871617
0.0336,712.9954041
0.0338,713.6675657
0.0338,714.5077677
0.0338,714.8438485
0.034,715.6840504
0.0342,716.5242524
0.0342,717.196414
0.0344,717.8685756
0.0344,718.3726968
0.0344,718.876818
0.0346,719.71702
0.0348,720.557222
0.0348,721.3974239
0.035,721.5654643
0.035,722.2376259
0.0352,723.0778279
0.0352,723.7499895
0.0354,724.2541107
0.0354,724.5901915
0.0356,725.4303935
0.0356,725.9345147
0.0358,726.4386358
0.036,727.1107974
0.036,727.782959
0.0362,728.2870802
0.0362,728.9592418
0.0364,729.463363
0.0364,729.6314034
0.0366,730.1355246
0.0366,730.8076862
0.0368,731.143767
0.037,731.6478882
0.037,731.8159285
0.037,732.1520093
0.0372,732.6561305
0.0374,732.9922113
0.0374,733.6643729
0.0374,733.6643729
0.0376,734.1684941
0.0378,734.6726153
0.0378,735.0086961
0.038,735.3447769
0.038,735.5128173
0.038,735.8488981
0.0382,736.3530193
0.0384,736.5210597
0.0384,736.8571405
0.0386,737.1932213
0.0388,737.6973424
0.0388,738.0334232
0.039,738.369504
0.0392,738.7055848
0.0392,739.0416656
0.0394,739.3777464
0.0394,739.7138272
0.0396,739.8818676
0.0398,740.2179484
0.0398,740.3859888
0.04,740.5540292
0.04,740.5540292
0.0402,741.0581504
0.0402,741.2261908
0.0404,741.5622716
0.0404,741.5622716
0.0406,741.730312
0.0406,742.0663928
0.0408,742.2344332
0.0408,742.2344332
0.041,742.570514
0.0412,742.9065947
0.0412,742.9065947
0.0414,743.0746351
0.0414,743.4107159
0.0416,743.2426755
0.0416,743.5787563
0.0418,743.7467967
0.0418,743.9148371
0.042,744.0828775
0.042,744.2509179
0.0422,744.2509179
0.0422,744.5869987
0.0424,744.5869987
0.0426,744.7550391
0.0426,744.7550391
0.0426,744.9230795
0.0428,745.0911199
0.043,745.4272007
0.043,745.5952411
0.0432,745.5952411
0.0432,745.7632815
0.0434,745.9313219
0.0436,745.9313219
0.0436,746.0993623
0.0436,746.0993623
0.0438,746.4354431
0.044,746.4354431
0.044,746.6034835
0.044,746.6034835
0.0442,746.9395643
0.0444,746.9395643
0.0444,747.1076047
0.0446,747.2756451
0.0446,747.2756451
0.0448,747.2756451
0.0448,747.4436855
0.045,747.4436855
0.045,747.6117259
0.0452,747.6117259
0.0452,747.7797663
0.0454,747.9478067
0.0454,747.9478067
0.0456,748.115847
0.0456,748.115847
0.0458,748.115847
0.0458,748.4519278
0.046,748.4519278
0.046,748.6199682
0.0462,748.6199682
0.0462,748.7880086
0.0464,748.956049
0.0464,748.7880086
0.0466,748.956049
0.0466,748.956049
0.0468,749.1240894
0.0468,749.2921298
0.047,749.2921298
0.0472,749.4601702
0.0472,749.6282106
0.0474,749.6282106
0.0474,749.796251
0.0476,749.9642914
0.0476,749.796251
0.0478,749.9642914
0.0478,749.9642914
0.048,750.1323318
0.0482,750.1323318
0.0482,750.1323318
0.0482,750.3003722
0.0484,750.4684126
0.0484,750.4684126
0.0486,750.636453
0.0488,750.8044934
0.0488,750.9725338
0.049,750.9725338
0.0492,750.9725338
0.0492,750.9725338
0.0492,751.1405742
0.0494,751.1405742
0.0496,751.1405742
0.0496,751.1405742
0.0496,751.3086146
0.0498,751.476655
0.0498,751.476655
0.05,751.6446954
0.0502,751.6446954
0.0502,751.8127358
0.0504,751.8127358
0.0504,751.9807762
0.0506,751.8127358
0.0506,751.9807762
0.0506,751.9807762
0.0508,751.9807762
0.051,752.1488166
0.051,752.316857
0.0512,752.316857
0.0514,752.316857
0.0514,752.4848974
0.0516,752.4848974
0.0516,752.4848974
0.0518,752.4848974
0.0518,752.6529378
0.052,752.6529378
0.052,752.6529378
0.0522,752.8209782
0.0522,752.8209782
0.0524,752.8209782
0.0524,752.9890186
0.0526,753.157059
0.0528,753.157059
0.0528,753.157059
0.0528,753.3250994
0.053,753.3250994
0.053,753.3250994
0.0532,753.4931398
0.0532,753.4931398
0.0534,753.6611801
0.0534,753.6611801
0.0536,753.6611801
0.0536,753.6611801
0.0538,753.6611801
0.0538,753.8292205
0.054,753.8292205
0.0542,754.1653013
0.0542,754.1653013
0.0542,753.9972609
0.0544,753.9972609
0.0546,754.1653013
