Strain,Stress
0,6.397737221
0,6.06101421
0,6.566098727
0,7.744629268
0.0002,10.27005186
0.0004,11.11185938
0.0004,11.95366691
0.0006,12.96383595
0.0006,0
0.0008,14.4790895
0.001,15.15253552
0.001,15.48925854
0.001,16.49942757
0.0012,17.3412351
0.0014,18.18304263
0.0014,19.36157317
0.0014,19.36157317
0.0016,21.04518823
0.0016,21.38191124
0.0018,22.39208027
0.0018,23.40224931
0.002,24.24405684
0.0022,25.25422587
0.0022,26.43275641
0.0024,27.44292545
0.0024,28.7898175
0.0024,29.12654051
0.0026,30.30507105
0.0026,31.6519631
0.0028,33.50393966
0.003,34.17738568
0.003,34.34574719
0.003,36.02936225
0.0032,38.04970032
0.0034,39.22823086
0.0034,40.4067614
0.0034,40.74348441
0.0036,42.42709947
0.0038,44.27907603
0.0038,45.62596808
0.004,46.97286013
0.004,47.64630615
0.0042,49.32992121
0.0042,51.01353627
0.0044,53.03387433
0.0044,53.70732036
0.0046,54.04404337
0.0046,55.89601993
0.0048,57.41127349
0.0048,59.26325005
0.005,61.11522661
0.005,61.62031113
0.0052,63.30392619
0.0052,64.81917974
0.0054,67.00787932
0.0054,68.52313287
0.0056,69.53330191
0.0056,71.89036299
0.0058,73.57397805
0.006,75.59431612
0.006,77.61465419
0.0062,79.29826924
0.0064,81.48696882
0.0064,83.6756684
0.0066,85.35928345
0.0066,86.53781399
0.0068,88.38979056
0.0068,90.24176712
0.007,92.76718971
0.007,94.61916627
0.0072,94.95588929
0.0072,96.97622736
0.0074,99.16492693
0.0074,100.848542
0.0076,102.8688801
0.0076,103.8790491
0.0078,106.4044717
0.0078,108.5931713
0.008,110.6135093
0.0082,112.9705704
0.0082,113.9807394
0.0082,115.495993
0.0084,117.5163311
0.0086,120.0417537
0.0086,122.2304532
0.0086,122.5671762
0.0088,124.7558758
0.0088,126.6078524
0.009,128.796552
0.0092,130.81689
0.0092,131.8270591
0.0094,134.3524816
0.0094,137.2146272
0.0096,137.5513503
0.0096,140.4134959
0.0096,141.2553034
0.0098,143.10728
0.01,145.2959795
0.01,147.3163176
0.0102,149.6733787
0.0102,150.6835477
0.0104,152.7038858
0.0104,154.5558623
0.0106,157.0812849
0.0106,159.101623
0.0106,159.775069
0.0108,162.4688531
0.011,164.4891912
0.011,167.0146138
0.0112,168.5298673
0.0112,169.8767594
0.0114,171.7287359
0.0114,173.9174355
0.0116,175.9377736
0.0116,177.7897502
0.0118,178.7999192
0.0118,181.1569803
0.012,183.5140413
0.012,185.8711024
0.0122,187.8914405
0.0122,189.069971
0.0124,191.0903091
0.0124,193.2790087
0.0126,195.2993468
0.0126,197.4880463
0.0128,199.5083844
0.0128,201.697084
0.013,204.0541451
0.0132,206.9162907
0.0132,209.2733517
0.0132,209.1049902
0.0134,212.9773049
0.0136,214.9976429
0.0136,217.017981
0.0138,219.5434036
