T [C], Yield Strength [MPa]
470.25495750708217, 234.08521303258135
508.49858356940524, 210.0250626566417
557.3654390934844, 189.97493734335853
604.1076487252125, 167.9197994987469
672.0963172804533, 141.85463659147854
742.2096317280453, 117.79448621553888
816.57223796034, 95.73934837092725
916.43059490085, 75.68922305764409
1003.5410764872523, 65.66416040100239
1103.3994334277622, 53.63408521303245
1192.6345609065156, 37.593984962405784
1271.2464589235128, 37.593984962405784
1356.2322946175636, 29.573934837092793
1441.218130311615, 29.573934837092793
1511.331444759207, 29.573934837092793
1606.940509915014, 27.56892230576409
1725.9206798866858, 27.56892230576409
1825.7790368271958, 29.573934837092793
1906.515580736544, 27.56892230576409
1985.1274787535413, 27.56892230576409
