,lb,ub
28.051736429371644,1076.4435573648582,1554.02256013539
28.051736429371644,1041.6714371499675,1520.5404546185273
31.107037376514832,1008.2946563671218,1487.1803620497976
40.517534742862466,976.3132150163214,1453.9422824292
41.61011377054385,945.7271130975658,1420.826215756735
46.38354211223133,916.5363506108557,1387.8321620324025
46.38354211223133,888.7409275561904,1354.9601212562025
50.21417361353466,862.3408439335703,1322.2100934281348
52.494144006517956,837.3360997429954,1289.5820785482
57.402846988847244,813.7266949844657,1257.0760766163974
63.064392859559774,781.4427206370547,1207.1305379375992
72.74861605946285,765.6074946266197,1173.8225864392457
77.665221684029,752.6804548879657,1140.8516240601064
86.84288551655249,733.9318028686365,1107.3557682558626
94.70945451585831,717.3105225732281,1076.6072919633507
106.3454211606649,698.8448834308049,1047.3568302036867
113.17404008367349,680.9393153126772,1018.8689616870297
121.3683827912837,663.6339085821677,984.8818865156586
132.49282380040307,647.4783510754609,956.7168692065047
146.82547413625954,632.0448896316149,925.4323982698055
156.98645909369623,616.6664189138777,895.4845113759212
175.7924756076618,600.2660149274722,868.2660492797095
194.8443224028557,584.7347136050919,844.2669641694279
218.0616267410847,568.4682962615527,824.4273159283536
274.3294466666751,553.065458333139,807.8598556519199
313.19404350848373,538.4196575280296,793.937480032648
338.4794438633955,525.652758504351,781.3242094883689
378.7487851693659,515.1954315706796,769.8239038708923
411.9944041545275,506.59983568525024,758.7679187735536
445.6822575080362,499.3478063127258,747.7570306534631
486.3738225774515,493.18017674918207,737.3523107617807
520.1597278949829,486.77488181350236,726.6249810033162
539.8261503932474,479.7494953666563,716.0273618052655
562.7294021794478,472.34746367407587,706.1150404246898
582.4367324728207,462.8895657651728,694.0564776395213
591.6553680188824,452.20257883242107,680.4931626931481
622.2378256240708,440.7066350541798,665.2207648554871
661.102422465879,428.28672587254215,649.7389687045587
697.1575303793644,415.61551392344944,635.0328141064964
733.2126382928495,402.8791580994805,621.9808901209036
769.2677462063348,390.7453330599578,611.8094233619548
805.3228541198198,379.16686714702456,603.1791379740094
841.3779620333049,368.2698826280878,596.9221454159355
876.6136356760289,358.81613956381943,591.4689296637625
913.4881778602752,349.63761790986246,585.879608080985
949.5432857737602,341.0073786399241,578.6026015149538
985.5983936872453,332.55660266068264,570.793478840525
1021.6535016007305,323.8548843780785,562.4224999604919
1057.7086095142156,314.03818674444744,552.5765324573389
1092.7394245892494,302.5160626708303,541.4930533065834
1129.8188253411856,289.42942266689386,528.4873710970983
1158.5130868723902,274.6678186566401,513.6625822734482
1189.0660963438231,259.5603148312591,496.83982333094485
1221.5954636664205,244.10904754352936,478.54407034040514
1235.116129133978,228.5061329230996,458.59364965757004
1262.294032447552,213.15564041176876,437.54197766376666
1290.6800760321194,198.31545243979193,415.5437498282654
1321.9306377084931,184.39588126475638,392.8757628110197
1348.8809203913002,171.74942484520167,370.31465693122817
1380.4167241448304,160.87285139541805,348.4669061348406
1414.9819515660229,151.05840887929654,326.60174306783324
1431.3706369812433,142.51135256175047,305.8165257368036
1465.786876353207,135.30608855183675,286.28494052190393
1494.818261945883,127.96243106681143,268.3128704115674
1532.9804865556107,121.41482413939363,251.4924911801275
1569.0355944690955,115.43438827518821,236.77924701543694
1605.0907023825807,110.13043643675451,223.17302948491727
1641.1458102960657,105.03998827367865,210.16169073208823
1677.200918209551,100.30836463069579,198.34534817671934
1713.256026123036,95.9502140755881,187.36356905840674
1749.311134036521,91.10201383690722,177.4833375140853
1775.533030700874,86.77140669809465,168.73177368716134
1797.0709848253387,82.76629594456219,161.4757239701051
1833.7345961910582,79.07219847582691,154.7220942247863
1881.4039384831985,75.20111779559704,149.37878918736854
1916.4757252717707,71.11570689715204,144.59304214996826
1952.5308331852555,67.03176771126374,140.4085292788715
1988.5859410987405,63.092962657491235,137.03381888249095
2024.6410490122257,59.0960658585813,133.69564239155875
2060.696156925711,55.075884281933384,130.48156091573276
2096.751264839196,51.323580481851714,127.54197746740594
2132.806372752681,47.747460118260385,124.75642766824576
2168.8614806661667,44.30700117654359,122.08516127314819
2204.9165885796515,41.31180375733714,119.02073733546662
2240.9716964931367,38.46871851939695,115.87101348401629
2277.026804406622,36.069970035106394,112.19465778548047
2313.0819123201063,34.13113305527407,108.24918842373769
2349.1370202335916,32.48284327183436,104.343177931154
2385.192128147077,30.840553925510598,100.04307981198414
2421.247236060562,29.010677853199173,95.90470042324107
2457.3023439740473,27.801041937007987,91.69362485332756
2493.3574518875325,27.09490638725856,87.65086536974258
2529.4125598010173,26.303787199101325,83.69900742918354
2565.4676677145026,25.338090486859134,80.05259036470817
2601.522775627988,24.44620879777448,76.43318905509626
2637.577883541473,23.7824417859651,73.06636626351991
2673.6329914549583,23.15233501684022,69.97450289354457
2709.6880993684435,22.24413110942579,67.11475788722595
2745.7432072819283,21.43566240972621,64.67281758440616
2785.076052278457,20.820810743467423,62.54750860945275
2821.1311601919424,20.337778185305847,60.676907678807
2857.186268105428,19.785363587802326,59.117008806799504
2893.241376018913,19.180678113710165,57.77194155576952
2929.296483932398,18.512444238403027,56.57669274129296
2965.3515918458834,18.171310242980898,55.88810886716046
3001.406699759368,17.490442503796295,54.60746206200209
3037.4618076728534,16.811441766824323,53.455509847651804
3073.5169155863387,16.13430803206498,52.43225222410959
3109.5720234998234,15.45904129951826,51.53768919137548
3145.6271314133087,14.785641569184166,50.77182074944943
3181.682239326794,14.1141088410627,50.13464689833148
3217.7373472402787,13.444443115153861,49.6261676380216
3253.792455153764,12.77664439145765,49.24638296851981
3281.6532203596385,12.110712669974063,48.99529288982611
