Temperature,20,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300
Ultimate Strength,1225,1106,858,846,836,764,712,720,-,654,-,621,-,507
Total Elongation,19.0,6.3,14.4,21.1,14.9,16.4,11.5,11.0,-,12.9,-,15.0,-,23.0
Uniform Elongation,13.7,6.6,10.2,8.5,4.5,5.6,2.9,2.1,,1.8,,1.5,-,0.9
Thermal Conductivity,113,114,113,110,111,112,111,111,111,108,112,113,-,-
